param,importance
learning_rate,0.3393759845987261
colsample_bytree,0.27217907418402354
n_estimators,0.19598093232901675
gamma,0.1554363588143409
min_child_weight,0.02139188387070957
subsample,0.008572375144315336
max_depth,0.005408973255224252
reg_alpha,0.0015124825344527146
reg_lambda,0.00014193526919085677
