number,value,user_attrs_cv_mae_mean,user_attrs_cv_rmse_std,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
0,6.451539850234985,4.850532817840576,0.27929182822206805,0.5372844364885492,5.50422016443947,0.025678694375815585,11,7.907995421709506,424,0.03474459361127072,9.946375717481205,0.9244472886806652
1,6.196895599365234,4.583448600769043,0.39574135274216665,0.5218483266205216,8.560308557056683,0.013431331545271484,6,0.11174825391760401,1600,3.4512803432545094,0.06835809006177339,0.7607532747951053
2,1.232824045419693,0.7367023646831512,0.22543223114823838,0.8133286865748361,3.247951830041803,0.011087764795947424,4,2.2050445142238697,2360,1.7243571745848225,0.04264416331544262,0.6741680654379827
3,6.697164630889892,4.990848731994629,0.35603295405465035,0.6230871259681877,8.42766900979728,0.0014286975110699308,7,1.1940003176553071,1470,2.948477007098901,0.10379034918069437,0.5250480197648018
4,6.472693014144897,4.8418049812316895,0.2852120666285434,0.632844178378191,5.582739389500766,0.004441736800696444,8,8.953433765721792,2780,3.8600944649030304,0.13207762554690253,0.7734338965984631
5,1.4419265627861022,0.8610625922679901,0.30280145987780677,0.8070757589376307,8.782290301645276,0.14659658439074016,5,9.433280397837306,1333,0.001263801042744194,0.32212461766883593,0.5006754375375155
6,1.2452844500541687,0.8388829469680786,0.1284714392530782,0.6807467542609067,9.155884874616353,0.09134416785951206,11,0.10209092208458226,953,0.002788898128250478,1.9251538018164764,0.5282151027824535
7,1.067249697446823,0.6907063126564026,0.17247622316340933,0.8877424437480906,4.279838231330231,0.08024840549136117,4,0.937407466657264,875,0.16848816107120532,0.08594652840153952,0.5098495667796534
8,6.38780632019043,4.811426877975464,0.3008121365606124,0.5710723266398007,6.610805012028217,0.001460616271937047,3,7.652820463044789,2715,0.001434668841008439,0.0357842682357709,0.7654950263638182
9,2.1306554079055786,1.466891837120056,0.2106903300443307,0.6263157114513281,9.711059335152287,0.19535720657748545,12,8.074466571161718,2693,1.4142406607065052,0.046988457537326264,0.9021011985000031
