param,importance
colsample_bytree,0.7147904398729572
learning_rate,0.2688688911843098
subsample,0.007429680085019268
gamma,0.0032018510503496675
min_child_weight,0.0022417794879080405
max_depth,0.001868326829645899
n_estimators,0.0009747943249118809
reg_alpha,0.0004985305374867446
reg_lambda,0.00012570662741152286
