trial=71/1000 pct=7.10% elapsed_s=238.5 eta_s=3121.2 best=0.8416863679885864
trial=72/1000 pct=7.20% elapsed_s=244.6 eta_s=3152.5 best=0.8416863679885864
trial=73/1000 pct=7.30% elapsed_s=248.0 eta_s=3149.3 best=0.8416863679885864
trial=74/1000 pct=7.40% elapsed_s=248.5 eta_s=3109.6 best=0.8416863679885864
trial=75/1000 pct=7.50% elapsed_s=249.5 eta_s=3077.1 best=0.8416863679885864
trial=76/1000 pct=7.60% elapsed_s=255.7 eta_s=3108.3 best=0.8416863679885864
trial=77/1000 pct=7.70% elapsed_s=261.8 eta_s=3138.1 best=0.8009317874908447
trial=78/1000 pct=7.80% elapsed_s=262.0 eta_s=3096.5 best=0.8009317874908447
trial=79/1000 pct=7.90% elapsed_s=267.2 eta_s=3115.5 best=0.8009317874908447
trial=80/1000 pct=8.00% elapsed_s=272.2 eta_s=3130.1 best=0.8009317874908447
trial=81/1000 pct=8.10% elapsed_s=275.3 eta_s=3123.0 best=0.8009317874908447
trial=82/1000 pct=8.20% elapsed_s=278.5 eta_s=3117.9 best=0.8009317874908447
trial=83/1000 pct=8.30% elapsed_s=299.5 eta_s=3309.4 best=0.8009317874908447
trial=84/1000 pct=8.40% elapsed_s=307.3 eta_s=3351.0 best=0.8009317874908447
trial=85/1000 pct=8.50% elapsed_s=309.8 eta_s=3334.5 best=0.8009317874908447
trial=86/1000 pct=8.60% elapsed_s=310.6 eta_s=3300.5 best=0.8009317874908447
trial=87/1000 pct=8.70% elapsed_s=319.8 eta_s=3356.3 best=0.8009317874908447
trial=88/1000 pct=8.80% elapsed_s=322.8 eta_s=3344.9 best=0.8009317874908447
trial=89/1000 pct=8.90% elapsed_s=324.6 eta_s=3322.3 best=0.8009317874908447
trial=90/1000 pct=9.00% elapsed_s=331.7 eta_s=3353.5 best=0.8009317874908447
trial=91/1000 pct=9.10% elapsed_s=335.7 eta_s=3353.1 best=0.8009317874908447
trial=92/1000 pct=9.20% elapsed_s=340.2 eta_s=3357.9 best=0.8009317874908447
trial=93/1000 pct=9.30% elapsed_s=346.8 eta_s=3381.9 best=0.8009317874908447
trial=94/1000 pct=9.40% elapsed_s=350.4 eta_s=3377.5 best=0.8009317874908447
trial=95/1000 pct=9.50% elapsed_s=353.2 eta_s=3364.4 best=0.8009317874908447
trial=96/1000 pct=9.60% elapsed_s=355.6 eta_s=3348.3 best=0.8009317874908447
trial=97/1000 pct=9.70% elapsed_s=363.0 eta_s=3379.0 best=0.8009317874908447
trial=98/1000 pct=9.80% elapsed_s=366.1 eta_s=3369.7 best=0.8009317874908447
trial=99/1000 pct=9.90% elapsed_s=368.1 eta_s=3350.2 best=0.8009317874908447
trial=100/1000 pct=10.00% elapsed_s=375.2 eta_s=3377.1 best=0.8009317874908447
trial=101/1000 pct=10.10% elapsed_s=380.7 eta_s=3388.5 best=0.8009317874908447
trial=102/1000 pct=10.20% elapsed_s=381.5 eta_s=3358.7 best=0.8009317874908447
trial=103/1000 pct=10.30% elapsed_s=388.5 eta_s=3383.3 best=0.8009317874908447
trial=104/1000 pct=10.40% elapsed_s=394.2 eta_s=3396.2 best=0.8009317874908447
trial=105/1000 pct=10.50% elapsed_s=395.8 eta_s=3373.9 best=0.8009317874908447
trial=106/1000 pct=10.60% elapsed_s=398.7 eta_s=3362.6 best=0.8009317874908447
trial=107/1000 pct=10.70% elapsed_s=404.0 eta_s=3371.6 best=0.8009317874908447
trial=108/1000 pct=10.80% elapsed_s=406.1 eta_s=3354.5 best=0.8009317874908447
trial=109/1000 pct=10.90% elapsed_s=409.0 eta_s=3343.2 best=0.8009317874908447
trial=110/1000 pct=11.00% elapsed_s=411.5 eta_s=3329.8 best=0.8009317874908447
trial=111/1000 pct=11.10% elapsed_s=418.6 eta_s=3352.5 best=0.7916933178901673
trial=111/1000 pct=11.10% elapsed_s=418.6 eta_s=3352.9 best=0.7916933178901673
trial=113/1000 pct=11.30% elapsed_s=421.5 eta_s=3308.8 best=0.7916933178901673
trial=114/1000 pct=11.40% elapsed_s=426.3 eta_s=3313.3 best=0.7916933178901673
trial=115/1000 pct=11.50% elapsed_s=430.1 eta_s=3309.7 best=0.7916933178901673
trial=116/1000 pct=11.60% elapsed_s=433.6 eta_s=3304.4 best=0.7793939232826232
trial=117/1000 pct=11.70% elapsed_s=443.0 eta_s=3343.5 best=0.7793939232826232
trial=118/1000 pct=11.80% elapsed_s=443.8 eta_s=3317.1 best=0.7633504152297974
trial=118/1000 pct=11.80% elapsed_s=443.8 eta_s=3317.4 best=0.7633504152297974
trial=120/1000 pct=12.00% elapsed_s=451.4 eta_s=3310.4 best=0.7633504152297974
trial=121/1000 pct=12.10% elapsed_s=456.8 eta_s=3318.1 best=0.7633504152297974
trial=122/1000 pct=12.20% elapsed_s=461.1 eta_s=3318.6 best=0.7633504152297974
trial=123/1000 pct=12.30% elapsed_s=461.7 eta_s=3291.9 best=0.7633504152297974
trial=124/1000 pct=12.40% elapsed_s=466.0 eta_s=3292.3 best=0.7633504152297974
trial=125/1000 pct=12.50% elapsed_s=469.9 eta_s=3289.0 best=0.7633504152297974
trial=126/1000 pct=12.60% elapsed_s=472.7 eta_s=3278.7 best=0.7633504152297974
trial=127/1000 pct=12.70% elapsed_s=476.9 eta_s=3278.3 best=0.7633504152297974
trial=128/1000 pct=12.80% elapsed_s=480.0 eta_s=3270.1 best=0.7633504152297974
trial=129/1000 pct=12.90% elapsed_s=481.1 eta_s=3248.3 best=0.7633504152297974
trial=130/1000 pct=13.00% elapsed_s=486.3 eta_s=3254.8 best=0.7633504152297974
trial=131/1000 pct=13.10% elapsed_s=488.8 eta_s=3242.3 best=0.7633504152297974
trial=132/1000 pct=13.20% elapsed_s=492.2 eta_s=3236.4 best=0.7633504152297974
trial=133/1000 pct=13.30% elapsed_s=494.7 eta_s=3224.8 best=0.7633504152297974
trial=134/1000 pct=13.40% elapsed_s=500.7 eta_s=3236.0 best=0.7633504152297974
trial=135/1000 pct=13.50% elapsed_s=503.9 eta_s=3228.8 best=0.7633504152297974
trial=136/1000 pct=13.60% elapsed_s=504.1 eta_s=3202.5 best=0.7633504152297974
trial=137/1000 pct=13.70% elapsed_s=507.5 eta_s=3196.7 best=0.7633504152297974
trial=138/1000 pct=13.80% elapsed_s=511.9 eta_s=3197.5 best=0.7633504152297974
trial=139/1000 pct=13.90% elapsed_s=514.2 eta_s=3185.2 best=0.7633504152297974
trial=140/1000 pct=14.00% elapsed_s=515.1 eta_s=3164.5 best=0.7633504152297974
trial=141/1000 pct=14.10% elapsed_s=520.0 eta_s=3167.9 best=0.7633504152297974
trial=142/1000 pct=14.20% elapsed_s=523.0 eta_s=3159.9 best=0.7633504152297974
