number,value,user_attrs_cv_mae_mean,user_attrs_cv_rmse_std,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
0,0.7095937311649323,0.4883174508810043,0.05357659749252888,0.9128396749707638,4.596137255339477,0.002199964359600488,6,3.138584392013052,2386,0.0018205438251796223,3.777882901649862,0.6774575834264245
1,0.6768187403678894,0.48050329089164734,0.057143964370786796,0.5193221776144794,5.836318693861787,0.07617460624505538,5,1.6826566108333452,1968,0.007485347053361262,0.2782733104808283,0.5576247550380053
2,0.6707604110240937,0.45036010146141053,0.06258614376545346,0.47015062665623314,0.8564834429702561,0.011217608662981838,4,9.630155065486605,795,0.016168261578926556,1.5250696709050624,0.5953836358800968
3,0.6700639069080353,0.44820481836795806,0.06742904181425519,0.5861217795298335,6.390458207925857,0.002809796682484104,10,1.318673266354008,2776,1.6106089729192044,0.11985831988211436,0.8559340811444025
4,0.7566115736961365,0.5365643531084061,0.06331382805630219,0.5314067225846634,8.949087797735087,0.005680099973199025,4,2.772593848726823,1886,1.8281423247929949,0.28504482985353086,0.74648668988116
5,0.6727618515491486,0.4639777779579163,0.052294950701216876,0.9320348615866579,1.5149641472018083,0.0034144661032561715,5,9.590449849512543,1347,0.0011734865666865808,0.05950247344878646,0.6448923540636333
6,1.141098713874817,0.8586677134037017,0.08237465200609485,0.4885598518353332,3.804604089674948,0.0012562766444412158,5,0.2131987879470143,2968,0.010569647565949036,0.0054058223500693,0.8476815851553198
7,0.6382788121700287,0.42737228274345396,0.0635173996150531,0.9076919415425873,4.263537883917472,0.010372815528227887,8,3.03270194657142,2732,0.025250707378460368,0.005818086033693135,0.5805004122016526
8,0.6388408720493317,0.4122743934392929,0.07193454888954742,0.4832639467294192,1.494163111506337,0.0024811095565915237,10,5.146493001603506,2489,0.00391347174738336,0.0021656333834052296,0.5443114354015136
9,0.7352049827575684,0.5269245207309723,0.08156776028597301,0.8456867695876154,6.561986580981756,0.10445599895614383,4,5.0848628754996135,1667,1.2422996960990063,4.699408025387537,0.9058226091523873
10,0.6222741782665253,0.4102971017360687,0.06210477049008651,0.40114931559157607,2.1779703099723156,0.0046662169778491575,5,5.683478632200842,2876,0.2444018514137191,1.3241277807872938,0.741983001102455
11,0.6758659601211547,0.4543127417564392,0.06965013359675773,0.527997158634761,8.3772988739967,0.02184432617978077,9,1.9348336033558688,1207,0.003115564649357519,0.027232149656922836,0.8823063406607486
12,0.6273151159286499,0.4163323134183884,0.0752774997246771,0.7670734160106645,2.869409530871738,0.0355531499308752,8,6.349463184190244,2432,0.14100405719295342,0.0017739114560219788,0.9980833753463318
13,0.5726394027471542,0.37551993429660796,0.07073416588203804,0.687518334300138,2.7117362178378217,0.02289887336029192,8,5.820144169081351,2430,0.07913487988403563,0.0010120619657327506,0.5094666164419066
14,0.6051924645900726,0.39792886674404143,0.06908602328395594,0.7351442834622992,3.0431675951671218,0.02809449174945158,8,6.806804005403963,2481,0.1347174629452059,0.009227174904393513,0.7725777057167712
15,0.5989969909191132,0.3886109352111816,0.06205240961021105,0.7545069995205124,2.7363003323627395,0.03337110004101026,12,7.065687029274551,2251,0.1694785678367799,0.9294858158421451,0.9896604253353749
16,0.5853743731975556,0.28965594470500944,0.13068962526513472,0.672388795316386,0.011829664583457244,0.2839355860596806,12,6.967829543753397,2186,0.22608871078985845,0.8227328451809266,0.506831864293436
17,0.5878764539957047,0.38168132305145264,0.07635491254714394,0.6703878068776815,3.100578219410956,0.04619344176533102,12,7.562246263984481,2185,0.046358321742854945,0.013548595802726921,0.7912069690416653
