param,importance
learning_rate,0.5052770798086725
gamma,0.47383580707709266
colsample_bytree,0.006602790997122042
reg_alpha,0.0048823126761040605
subsample,0.00452086763468715
min_child_weight,0.001785145083785579
max_depth,0.0011276015181561903
n_estimators,0.0011047325545040017
reg_lambda,0.0008636626498755984
