A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(2n)_MeV
24,Mg,12,29676.2279,0.1597,20486.8045,0.0219,-9316.5618,0.013,-24678.7638,19.4721,-16068.5042,0.1052,-28752.9673,0.3449,12,1.0,4,4,0,,16531.2216,0,29.6762279
125,Ag,47,11093.9945,434.37,29908.0,589.0,-10694.7205,755.8603,15892.3688,433.1484,-27099.0,589.0,4108.1793,433.1526,78,1.6595744680851063,-3,-4,0,,6361.3064,31,11.0939945
170,Hf,72,17035.939,39.5199,9251.9359,27.945,2914.9303,28.8084,-8963.0559,30.9035,-3167.3043,27.9454,-14034.7433,39.5199,98,1.3611111111111112,-10,16,0,,9608.2833,26,17.035939
81,Zn,30,8910.0035,5.5002,32618.0,500.0,-11274.0,400.0,20092.0259,5.4335,-30249.0,600.0,4952.6873,5.8018,51,1.7,2,1,0,,2622.3681,21,8.9100035
94,Rh,45,26051.1642,5.5305,8559.8625,4.5873,-4607.843,3.5311,-20505.0,400.0,3409.5217,3.5275,-21997.1318,370.0248,49,1.0888888888888888,-5,-1,0,,11967.1318,4,26.0511642
149,Pm,61,13165.0566,2.054,15198.2535,15.9722,1136.67,7.3302,376.9123,4.2188,-10817.9231,15.166,-4799.656,2.0283,88,1.4426229508196722,11,6,0,,7269.8459,27,13.1650566
58,Mn,25,15058.5385,2.7172,24222.1099,175.9052,-8354.2169,11.5012,4019.7241,2.9371,-18681.4762,84.809,-3716.8696,2.7146,33,1.32,-3,5,0,,6412.6071,8,15.058538500000001
197,Hg,80,15669.5251,23.3602,12324.2946,3.2191,1514.5303,3.4607,-5794.8458,5.7737,-5184.6639,3.219,-11114.9505,12.5268,117,1.4625,-2,-9,0,,6785.605,37,15.669525100000001
148,Eu,63,15322.5152,11.5724,11421.0639,10.7632,2693.7185,10.224,-5760.5353,15.9433,-4544.4692,9.9706,-9011.8723,10.0361,85,1.3492063492063493,13,3,0,,6824.189,22,15.3225152
131,Pd,46,4002.0,671.0,,,,,29472.0,301.0,,,12086.0,520.0,85,1.8478260869565217,-4,3,0,,1081.0,39,4.002
240,Cm,96,13863.6172,12.3031,9016.8682,1.6971,6397.7981,0.5997,-6264.4972,18.107,-4152.9687,1.7141,-10597.0,207.0,144,1.5,14,18,0,,7494.058,48,13.8636172
88,Nb,41,23180.1305,58.0689,11466.3974,59.5132,-4702.0317,57.9678,-14501.2536,57.9536,-442.1391,57.8195,-17358.056,57.8791,47,1.146341463414634,-9,-3,0,,10368.3802,6,23.1801305
170,Ho,67,12320.9187,58.3259,18034.2747,50.1946,-853.6521,50.0406,3557.8003,50.0319,-13046.0,304.0,-3387.6687,50.0193,103,1.537313432835821,-15,21,0,,5512.8222,36,12.3209187
242,Am,95,12184.7321,13.7875,11426.1574,17.0161,5588.5003,0.2537,-2284.0,135.0,-6136.0729,100.0002,-6305.0745,1.1727,147,1.5473684210526315,13,21,0,,5537.64,52,12.1847321
151,Sm,62,13583.218,0.3919,14778.8872,1.8712,1145.3986,0.9728,-387.5596,2.817,-8185.4998,0.2237,-7855.4285,6.1801,89,1.435483870967742,12,7,0,,5596.4623,27,13.583218
128,Sb,51,14379.3523,36.9749,21398.4167,19.2495,-6186.9891,35.8734,3108.1785,19.1324,-15038.9259,21.2837,-4420.6729,18.8355,77,1.5098039215686274,1,-5,0,,6002.8758,26,14.3793523
72,Kr,36,28983.0,200.0,6588.6246,8.1659,-2176.0492,8.0262,,,1916.9616,8.4843,-29722.0,400.0,36,1.0,8,8,0,,15684.6892,0,28.983
219,Bi,83,8553.0,201.0,16918.0,447.0,3865.0,361.0,5924.0,200.0,-14679.0,447.0,-108.0,200.0,136,1.6385542168674698,1,10,0,,4968.0,53,8.553
