A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(2n)_MeV
158,Ta,73,21260.0,361.0,1997.0,208.0,6123.6044,4.3503,,,8033.0,201.0,-19500.0,447.0,85,1.1643835616438356,-9,3,0,,9594.0,12,21.26
159,Pr,59,8477.0,400.0,26278.0,500.0,-5264.0,565.0,15785.0,400.0,,,4994.0,400.0,100,1.694915254237288,9,18,0,,4691.0,41,8.477
291,Lv,116,13356.0,801.0,4800.0,806.0,10889.9999,86.0233,,,1224.0,938.0,,,175,1.5086206896551724,-10,49,0,,5855.0,59,13.356
190,Bi,83,19543.7414,23.7664,2837.4449,36.5254,6862.1185,3.046,,,6731.2288,22.5805,-17245.228,30.4381,107,1.2891566265060241,1,-19,0,,8602.5599,24,19.5437414
184,Pt,78,17306.7021,19.7169,7301.3195,26.2724,4598.7954,8.0883,-10987.6993,17.555,-957.6976,51.9065,-15212.3169,17.498,106,1.358974358974359,-4,-20,0,,9630.6078,28,17.3067021
102,Tc,43,14694.6063,9.2634,19359.6177,12.1504,-3473.225,10.4417,2210.3947,11.1758,-12970.4045,9.893,-4686.1267,9.1646,59,1.372093023255814,-7,9,0,,6299.6467,16,14.6946063
25,Na,11,15970.5962,1.2,27221.0192,33.342,-11735.1243,2.1633,-441.8397,1.2017,-24191.3006,97.6777,-3495.5535,1.2001,14,1.2727272727272727,3,6,0,,9011.231,3,15.9705962
100,Rb,37,8039.3678,20.7578,32794.0,400.0,-10481.0,300.0,21055.3569,17.2395,,,8181.3246,13.9528,63,1.7027027027027026,9,13,0,,3216.0521,26,8.0393678
179,Tm,69,10474.0,447.0,20199.0,640.0,-1026.0,565.0,7159.0,400.0,-17059.0,640.0,-295.0,400.0,110,1.5942028985507246,-13,-16,0,,5731.0,41,10.474
42,Si,14,4970.0,324.0,47288.0,583.0,-19659.0,586.0,34477.0,300.0,-48550.0,583.0,13748.0,323.0,28,2.0,6,0,1,,4432.0,14,4.97
267,Db,105,12511.0,436.0,8797.0,663.0,7920.0,300.0,-4751.0,457.0,-4937.0,656.0,-7675.0,447.0,162,1.542857142857143,-21,36,0,,6798.0,57,12.511
119,Sn,50,15809.8783,0.5595,18224.5297,1.239,-4405.4207,0.9735,-2882.4452,7.2741,-10652.3067,20.0134,-10140.0989,3.0241,69,1.38,0,-13,1,,6483.4596,19,15.809878300000001
202,Os,76,10123.0,500.0,,,,,10162.0,400.0,,,-762.0,447.0,126,1.6578947368421053,-6,0,1,,5762.0,50,10.123
96,Rb,37,8934.1958,3.9157,28283.0,200.0,-7546.4543,7.4962,16975.635,6.939,-24793.0,300.0,5691.6154,6.6941,59,1.5945945945945945,9,9,0,,3535.3618,22,8.9341958
126,Sn,50,13926.2962,10.6066,23893.6412,11.0011,-7827.6671,10.9321,4049.0321,10.6141,-19956.0165,11.0709,-5831.3597,10.8237,76,1.52,0,-6,1,,8192.7963,26,13.926296200000001
186,Au,79,17538.7782,30.5906,6681.9429,34.9362,4911.9106,14.0238,-11831.9161,29.4993,1331.7305,34.9362,-13602.5233,25.0128,107,1.3544303797468353,-3,-19,0,,7928.0243,28,17.5387782
149,Sm,62,14012.4863,0.9054,13567.0458,0.9762,1871.1905,0.9714,-2008.7249,3.2074,-7016.8033,1.8675,-8909.734,9.9776,87,1.403225806451613,12,5,0,,5871.1496,25,14.0124863
199,Au,79,14096.6369,0.1083,15407.5716,20.1058,173.6501,1.3597,-1034.3554,27.9501,-10673.0,200.0,-6210.7549,0.4932,120,1.518987341772152,-3,-6,0,,7584.2775,41,14.0966369
30,F,9,586.0,514.0,,,,,40486.0,500.0,,,22489.0,522.0,21,2.3333333333333335,1,1,0,,-739.0,12,0.586
44,P,15,6125.0,411.0,45458.0,640.0,-20135.0,500.0,31589.0,409.0,-44449.0,721.0,15234.0,400.0,29,1.9333333333333333,-5,1,0,,2002.0,14,6.125
266,Rf,104,12081.0,548.0,9452.0,720.0,7610.0,200.0,-3481.0,480.0,,,-8317.0,469.0,162,1.5576923076923077,22,36,0,,6625.0,58,12.081
278,Ds,110,12431.0,748.0,6512.0,883.0,10420.0,200.0,-6591.0,672.0,-2413.0,678.0,-10227.0,693.0,168,1.5272727272727273,-16,42,0,,6913.0,58,12.431
180,Re,75,16326.5422,35.1928,9817.0,56.0,3103.0999,37.4503,-7859.8337,30.4759,-2768.8785,21.4422,-10888.5442,26.4203,105,1.4,-7,-21,0,,7324.3695,30,16.3265422
153,Sm,62,14126.2154,0.6203,16194.8179,0.6634,-609.4402,1.9385,322.8848,0.2547,-9699.3669,24.458,-7742.8773,0.6987,91,1.467741935483871,12,9,0,,5868.4,29,14.1262154
193,Po,84,19399.2075,16.1722,2612.0008,15.9653,7093.8012,3.6617,-17368.2224,29.0118,6937.5726,15.6169,-19322.3619,31.4335,109,1.2976190476190477,2,-17,0,,8330.1367,25,19.3992075
118,La,57,25713.0,440.0,2155.0,316.0,2641.0,312.0,,,9584.0,306.0,,,61,1.0701754385964912,7,11,0,,11420.0,4,25.713
142,Tb,65,22219.8803,1063.7489,4151.5188,702.4508,2765.2376,701.1147,-19309.0,807.0,6077.1537,700.6716,-19248.0,761.0,77,1.1846153846153846,15,-5,0,,10089.9974,12,22.2198803
66,Cu,29,16976.507,0.6645,21043.7895,20.0119,-7258.8057,18.5814,-2534.5604,1.2233,-14362.0548,2.1813,-8417.5826,0.3675,37,1.2758620689655173,1,9,0,,7065.9299,8,16.976507
171,W,74,18310.865,31.9246,6947.1424,39.5199,3956.7502,39.5199,-12788.8575,33.3748,1878.7939,39.5199,-16253.4173,30.1911,97,1.3108108108108107,-8,15,0,,7866.609,23,18.310865000000003
224,Rn,86,10069.4947,10.0049,14619.1114,41.2391,4756.7202,20.2374,3619.2659,9.98,-11922.0,196.0,-4008.549,10.0025,138,1.6046511627906976,4,12,0,,6015.9581,52,10.0694947
229,Rn,86,9666.0708,19.1994,17496.0,401.0,2358.0,300.0,6800.4372,20.211,,,-2093.1393,14.6758,143,1.6627906976744187,4,17,0,,3952.3845,57,9.6660708
118,In,49,15121.0544,7.7555,19263.4547,8.41,-4722.2819,8.9962,768.0271,8.2915,-12335.2298,15.6295,-4901.7523,7.7385,69,1.4081632653061225,-1,-13,0,,6356.4596,20,15.1210544
199,Rn,86,19212.8509,17.7612,2744.7103,12.2671,7131.8922,4.0913,,,6624.4607,18.8905,-19208.8627,31.9735,113,1.313953488372093,4,-13,0,,8400.845,27,19.212850900000003
215,Hg,80,7233.0,500.0,,,,,12767.0,403.0,,,2574.0,445.0,135,1.6875,-2,9,0,,2732.0,55,7.233
208,Fr,87,17560.705,30.1551,4803.482,17.8582,6785.4078,24.5899,-13425.7823,65.5282,3273.5828,17.0238,-14250.2338,59.4401,121,1.3908045977011494,5,-5,0,,7887.2253,34,17.560705000000002
160,Lu,71,19200.3779,58.7996,6144.6842,62.1664,4139.5589,58.5877,-14446.2426,78.6056,3011.4907,63.321,-15488.6543,59.2564,89,1.2535211267605635,-11,7,0,,8632.6513,18,19.2003779
87,Ga,31,5268.0,502.0,,,-10904.0,707.0,26748.0,500.0,,,12459.0,665.0,56,1.8064516129032258,3,6,0,,3181.0,25,5.268
134,Xe,54,14989.4961,0.0028,17515.5795,3.4863,-3197.7907,0.0104,824.1677,0.2507,-12477.6726,2.0661,-8126.2095,0.0071,80,1.4814814814814814,4,-2,0,,8553.5695,26,14.9894961
41,Al,13,3042.0,500.0,49965.0,843.0,-20969.0,795.0,39570.0,417.0,,,20852.0,418.0,28,2.1538461538461537,5,0,1,,2302.0,15,3.042
70,Se,34,23883.0869,1.6593,9529.0429,2.4552,-2747.7748,2.876,-20830.0,200.0,-2118.1966,2.06,-23741.7399,42.0328,36,1.0588235294117647,6,8,0,,13566.5034,2,23.8830869
100,Pd,46,20034.3231,18.2633,11565.7431,18.7836,-1557.2031,17.637,-11018.077,17.7164,-4876.2586,17.6367,-16571.5075,18.7166,54,1.173913043478261,-4,4,0,,11101.129,8,20.0343231
42,K,19,17629.17,0.1199,22042.1544,32.0657,-7648.8307,0.1445,-2901.0278,0.1869,-15003.8102,68.7236,-7955.4406,0.1738,23,1.2105263157894737,-1,3,0,,7533.8,4,17.62917
120,Rh,45,9876.0,202.0,29908.0,447.0,-9831.0,359.0,17032.0,200.0,-25739.0,539.0,4716.0,200.0,75,1.6666666666666667,-5,-7,0,,3868.0,30,9.876
191,Pt,78,15371.567,10.827,11289.4766,4.046,3095.7631,4.0749,-5106.4873,22.6581,-4279.482,4.0411,-10936.1142,5.3766,113,1.4487179487179487,-4,-13,0,,6463.1505,35,15.371566999999999
43,Ti,22,29760.6883,28.524,8755.6248,5.7206,-4457.8001,5.7499,-27345.0,200.0,1942.7314,5.7209,-29767.0,196.0,21,0.9545454545454546,2,1,0,,12282.5556,-1,29.7606883
141,Tb,65,22553.0,316.0,3720.7334,106.0771,3180.145,105.3498,-20176.0,414.0,5156.1316,117.199,-19782.0,414.0,76,1.1692307692307693,15,-6,0,,12129.8829,11,22.553
184,Ta,73,12551.4041,26.045,15647.0,202.0,1412.1074,75.3555,1380.3667,26.3366,-10412.3097,84.2254,-4545.1081,26.0003,111,1.5205479452054795,-9,-15,0,,5617.2242,38,12.5514041
164,Hf,72,18792.5665,18.1703,6575.135,21.8659,3919.9548,16.7401,-13582.8011,18.5364,186.5511,21.8672,-17355.0404,41.2154,92,1.2777777777777777,-10,10,0,,10620.3539,20,18.7925665
188,Hf,72,10548.0,304.0,,,-654.0,586.0,7838.0,300.0,,,-2005.0,305.0,116,1.6111111111111112,-10,-10,0,,5901.0,44,10.548
18,N,7,8713.3759,18.7116,38576.4735,30.795,-12975.4343,28.1928,12240.055,18.5753,-37892.1253,204.9466,5850.6136,18.5695,11,1.5714285714285714,-1,3,0,,2828.2294,4,8.713375899999999
192,Re,75,12148.4495,70.9608,17447.0,212.0,-104.0,212.0,3246.8028,70.8057,-12358.0,308.0,-3264.907,70.7966,117,1.56,-7,-9,0,,5309.7381,42,12.1484495
90,Sr,38,14171.9522,1.4488,20837.5915,2.9836,-5110.1848,1.4488,2821.6024,1.4535,-16704.1214,2.5863,-6311.0607,1.4096,52,1.368421052631579,10,2,0,,7813.2364,14,14.1719522
151,Tm,69,22974.0,201.0,3703.7019,22.7762,2560.5718,20.0099,-20471.0,301.0,3885.3073,16.2623,-20013.0,301.0,82,1.1884057971014492,-13,0,1,,12352.0,13,22.974
227,Ac,89,11930.4262,4.6912,12549.0292,12.1059,5042.2697,0.1425,-980.8557,7.2775,-8959.9956,6.5213,-5419.4524,4.7467,138,1.550561797752809,7,12,0,,6531.0041,49,11.9304262
166,Os,76,21149.439,150.9754,1773.9132,20.4017,6142.7746,3.315,-20649.0,301.0,6140.819,31.4022,-21908.0,159.0,90,1.1842105263157894,-6,8,0,,11756.0,14,21.149438999999997
140,Sm,62,20100.8091,17.1999,8016.7057,17.0531,1318.4361,17.1999,-13673.6675,30.612,-727.9868,30.2258,-18129.2121,18.1416,78,1.2580645161290323,12,-4,0,,11147.0344,16,20.1008091
37,Ar,18,24043.0262,0.7111,16679.4111,0.2108,-6786.7364,0.2066,-17811.6089,0.6671,-7572.509,0.2732,-21601.8153,0.3852,19,1.0555555555555556,-2,-1,0,,8787.4546,1,24.0430262
60,Ga,31,32193.0,361.0,2500.0,200.0,-3386.0,200.0,-33950.0,447.0,9479.0,200.0,-31292.0,447.0,29,0.9354838709677419,3,1,0,,13902.0,-2,32.193
201,Bi,83,16774.0256,16.1521,7947.5511,30.4825,4500.2999,6.0,-10639.5644,14.6716,-1670.7498,13.4685,-12558.6405,14.3315,118,1.4216867469879517,1,-8,0,,9129.7503,35,16.7740256
206,At,85,16706.7725,26.3982,6371.4033,16.3415,5886.5504,4.9397,-11192.529,30.9266,1337.2103,14.3547,-12800.9417,14.449,121,1.423529411764706,3,-5,0,,7526.187,36,16.7067725
173,Hf,72,16123.0747,40.184,10682.9137,27.9448,2538.8216,27.9454,-6684.4017,39.5199,-3445.3044,27.9448,-12153.1252,39.5199,101,1.4027777777777777,-10,19,0,,7080.8762,29,16.1230747
165,Dy,66,13374.067,0.088,16801.64,1.0586,-531.0627,1.4913,909.0639,0.6008,-11207.5721,1.2188,-6703.0895,1.3721,99,1.5,16,17,0,,5715.958,33,13.374066999999998
98,Rh,45,19630.1224,15.5497,11931.5124,12.9711,-1441.8027,12.5832,-10108.7938,34.995,-3239.7531,12.5983,-13440.6841,12.8541,53,1.1777777777777778,-5,3,0,,8648.9723,8,19.6301224
86,Rb,37,19130.6642,2.2031,19541.8504,25.7308,-7673.2418,0.9918,-3463.9028,14.1436,-11460.4952,3.0843,-9715.0309,2.8203,49,1.3243243243243243,9,-1,0,,8650.98,12,19.1306642
155,Lu,71,20312.2301,151.2469,3150.3886,22.6628,5801.6414,2.2374,-18557.0,301.0,4593.1151,16.3227,-17886.0,301.0,84,1.1830985915492958,-11,2,0,,10950.0,13,20.3122301
50,K,19,9586.0068,7.77,36026.0,500.0,-14417.8198,97.5556,18809.2677,8.1303,-33756.0,400.0,7500.8319,7.7334,31,1.631578947368421,-1,3,0,,4187.675,12,9.5860068
138,Gd,64,22712.0,359.0,3427.0,201.0,3292.0,280.0,-20729.0,541.0,5043.0,202.0,-22764.0,448.0,74,1.15625,14,-8,0,,12517.0,10,22.712
182,Pb,82,21026.124,17.2951,1151.9853,17.492,7065.8734,5.5095,,,6547.5997,19.5627,,,100,1.2195121951219512,0,18,1,,11785.2436,18,21.026124
191,Po,84,19789.3713,23.1737,1802.6537,15.7522,7493.3085,4.9498,,,8058.9051,14.3843,,,107,1.2738095238095237,2,-19,0,,8577.3408,23,19.7893713
94,Br,35,7559.0,200.0,31848.0,539.0,-9084.0,447.0,20913.0,200.0,,,8415.0,200.0,59,1.6857142857142857,7,9,0,,2831.0,24,7.559
119,Cs,55,21954.5967,63.9479,6444.4352,29.1121,1607.8276,32.0649,-17285.0,300.0,1377.0241,24.1821,-18177.0,201.0,64,1.1636363636363636,5,14,0,,11967.0027,9,21.9545967
179,Hg,80,20299.7371,89.2668,2140.4292,31.8616,6350.8448,31.2624,-18984.532,85.9593,7775.5908,29.8773,-20391.0,106.0,99,1.2375,-2,17,0,,8688.896,19,20.299737099999998
80,As,33,15540.2676,10.3237,23088.4579,3.4951,-8342.869,3.865,3674.4239,3.4542,-16955.2169,3.5455,-4368.4534,3.3406,47,1.4242424242424243,5,-3,0,,6649.8383,14,15.5402676
23,N,7,4654.1225,441.4155,56240.3999,699.2744,-25474.7374,672.9671,33435.1656,421.8875,,,19366.0789,424.404,16,2.2857142857142856,-1,-4,0,,3115.6936,9,4.654122500000001
266,Db,105,12664.0,368.0,8212.0,520.0,8210.0,200.0,-5364.0,326.0,-2782.0,616.0,-8125.0,315.0,161,1.5333333333333334,-21,35,0,,5713.0,56,12.664
88,Zr,40,21802.4865,6.4726,13683.7162,5.4033,-5404.2094,5.5444,-10942.3209,6.6167,-6037.7685,5.4033,-17825.699,8.6844,48,1.2,-10,-2,0,,12353.0453,8,21.8024865
91,Rh,45,29062.0,468.0,5753.0,298.0,-3304.0,298.0,,,4866.0,298.0,-26931.0,499.0,46,1.0222222222222221,-5,-4,0,,15007.0,1,29.062
139,Ce,58,17181.6122,2.1195,13814.2826,2.1034,-1532.0024,2.1031,-4940.8116,27.5526,-5984.9066,2.1035,-11900.1928,10.228,81,1.396551724137931,8,-1,0,,7463.1928,23,17.1816122
62,Ge,32,30752.0,331.0,2543.0,140.0,-2266.0,148.0,,,6920.0,141.0,-33011.0,331.0,30,0.9375,4,2,0,,16421.0,-2,30.752
115,Ba,56,25353.0,361.0,1295.0,200.0,3175.0,231.0,,,10877.0,201.0,,,59,1.0535714285714286,6,9,0,,11086.0,3,25.353
163,Pm,61,9016.0,400.0,25048.0,640.0,-4615.0,565.0,13614.0,400.0,,,3348.0,400.0,102,1.6721311475409837,11,20,0,,4991.0,41,9.016
71,Cu,29,13117.5496,2.0429,26903.6291,85.7104,-9814.2669,6.6133,7427.9922,1.6967,-23475.1422,11.0922,-1217.7045,2.4288,42,1.4482758620689655,1,-8,0,,7806.0719,13,13.1175496
116,In,49,15822.5874,0.3728,17896.8899,4.5696,-4090.9453,2.4319,-1427.7387,5.1591,-10556.1428,18.2691,-6287.2308,0.2202,67,1.3673469387755102,-1,-15,0,,6784.72,18,15.8225874
33,Mg,12,8057.6114,4.0673,40796.6632,266.2086,-15861.846,149.5285,25477.2009,2.7535,-39325.0,503.0,7990.9232,7.651,21,1.75,4,1,0,,2279.5444,9,8.057611399999999
168,Eu,63,8644.0,412.0,,,-3315.0,565.0,13531.0,400.0,,,3454.0,400.0,105,1.6666666666666667,13,-21,0,,3552.0,42,8.644
129,Te,52,14867.0235,1.5048,18113.2485,9.2521,-3536.1428,1.4745,1691.1856,0.7109,-10932.4255,17.6843,-7338.1721,3.6816,77,1.4807692307692308,2,-5,0,,6082.4087,25,14.8670235
145,Pr,59,12700.4269,7.1723,16032.465,10.214,878.9374,8.1855,1641.5158,7.48,-12065.3017,14.7803,-3949.2802,7.0407,86,1.4576271186440677,9,4,0,,6946.7202,27,12.7004269
93,Zr,40,15369.0718,0.4478,18048.0202,5.4706,-3337.9171,0.4649,-314.9487,0.4901,-11543.628,3.4535,-8740.0554,1.8181,53,1.325,-10,3,0,,6734.3219,13,15.3690718
127,Sb,51,14585.8361,5.3521,20863.9282,5.3826,-5694.1761,20.4319,2284.9229,6.0636,-16177.8879,6.5887,-4705.4443,4.9132,76,1.4901960784313726,1,-6,0,,8376.4764,25,14.5858361
143,Tb,65,22020.9858,117.0648,5071.4877,52.7681,2553.9432,52.893,-18372.0,302.0,3600.7661,59.3988,-18371.0,730.0,78,1.2,15,-4,0,,11930.9883,13,22.0209858
233,Am,95,15268.0,321.0,6917.0,125.0,7059.0,53.0,-9486.0,259.0,-1363.0,152.0,-11119.0,231.0,138,1.4526315789473685,13,12,0,,8206.0,43,15.268
144,Dy,66,22593.0,729.0,4188.5112,28.8506,2787.2709,28.8506,-19962.0,196.0,4372.2487,200.4299,-22594.0,298.0,78,1.1818181818181819,16,-4,0,,12472.4601,12,22.593
207,Fr,87,17681.8404,19.2212,4442.4437,21.2967,6888.6707,20.0083,-13995.2488,58.9243,2301.3963,22.1643,-14485.9517,25.149,120,1.3793103448275863,5,-6,0,,9673.4797,33,17.681840400000002
116,I,53,20924.3551,77.6639,7501.9795,77.5986,1753.4036,77.1264,-15378.0,125.0,2293.7874,76.7295,-16835.2146,76.0081,63,1.1886792452830188,3,13,0,,9154.1671,10,20.9243551
179,Ir,77,18176.9308,22.0437,6390.4863,29.6037,4781.6767,29.6037,-13093.1475,15.2399,282.7672,29.6037,-14155.5518,14.0766,102,1.3246753246753247,-5,20,0,,9898.7236,25,18.176930799999997
69,Mn,25,7922.0,447.0,38194.0,721.0,-15674.0,640.0,25026.0,409.0,,,10466.0,444.0,44,1.76,-3,-6,0,,4511.0,19,7.922
184,Lu,71,10673.0,283.0,19388.0,539.0,-555.0,447.0,6539.0,202.0,,,-1088.0,203.0,113,1.591549295774648,-11,-13,0,,4656.0,42,10.673
29,Al,13,17153.5348,0.3479,27267.9139,3.7422,-11274.8645,1.2485,-1254.9132,0.4976,-24508.4181,10.2522,-4786.2833,0.3447,16,1.2307692307692308,5,-4,0,,9428.3609,3,17.153534800000003
136,La,57,16961.465,56.7833,13724.2645,53.171,-1309.7104,53.1811,-4697.0669,54.3908,-5744.5022,53.1722,-9492.4982,54.153,79,1.3859649122807018,7,-3,0,,7465.3482,22,16.961465
185,Pt,78,17057.5833,29.4853,7602.3262,56.0732,4436.9081,10.0078,-10504.4931,29.2116,275.4504,25.8455,-14440.748,34.1096,107,1.3717948717948718,-4,-19,0,,7426.9756,29,17.057583299999997
139,Eu,63,21394.784,13.8601,5903.1354,18.5203,2239.3617,83.9395,-17268.0,298.0,2227.3475,17.5374,-17810.0,201.0,76,1.2063492063492063,13,-6,0,,11719.6939,13,21.394784
169,Eu,63,8033.0,640.0,,,-3415.0,707.0,14820.0,583.0,,,4418.0,583.0,106,1.6825396825396826,13,-20,0,,4481.0,43,8.033
78,Sr,38,25068.94,35.2617,8738.1856,8.4639,-3267.0212,7.7192,-22324.0,400.0,-293.469,7.7044,-24807.0,203.0,40,1.0526315789473684,10,-10,0,,13441.8243,2,25.068939999999998
140,Tb,65,23024.0,855.0,3310.5444,800.9755,3336.0,824.0,-21165.0,944.0,7626.8025,800.5959,-20853.0,944.0,75,1.1538461538461537,15,-7,0,,10423.0,10,23.024
159,W,74,21887.0,500.0,1157.0,361.0,6450.8877,3.5522,,,9380.0,300.0,,,85,1.1486486486486487,-8,3,0,,9813.0,11,21.887
241,Bk,97,14411.0,265.0,7988.0,165.0,6986.0,176.0,-7913.0,284.0,-2818.0,166.0,-10079.0,166.0,144,1.4845360824742269,15,18,0,,7755.0,47,14.411
10,B,5,27013.5945,1.0,23473.136,0.0496,-4461.1857,0.015,-26749.4168,400.0,-20193.2654,0.1869,-24931.6787,2.1367,5,1.0,3,3,0,,8437.1932,0,27.0135945
219,Fr,87,11840.36,9.3905,10355.6013,8.3616,7448.6065,1.8222,-2952.6143,51.9178,-6772.2504,13.3407,-6099.9355,11.905,132,1.5172413793103448,5,6,0,,6513.8192,45,11.84036
30,Mg,12,10004.0631,1.3209,34759.0528,126.0743,-11787.402,18.4742,15551.5899,1.2951,-34570.1466,149.5104,1255.0717,1.34,18,1.5,4,-2,0,,6340.3306,6,10.0040631
88,Br,35,11226.3421,4.4136,26331.7598,4.6807,-7287.315,4.4789,11893.0373,3.1671,-22387.0248,4.3492,1922.2456,3.1806,53,1.5142857142857142,7,3,0,,4895.5999,18,11.2263421
171,Ir,77,20461.2502,44.9762,2580.7251,40.1112,5997.0,12.0,-18849.7268,43.6886,5202.9951,40.1278,-18184.1459,42.5744,94,1.2207792207792207,-5,12,0,,11301.0,17,20.4612502
91,Rb,37,12175.286,9.3167,24048.7193,8.4567,-6278.2791,8.4211,8606.2724,7.946,-21033.7135,8.493,134.5782,7.9347,54,1.4594594594594594,9,4,0,,6450.7939,17,12.175286
176,Yb,70,12689.4379,0.0155,16120.0,298.0,566.34,3.9619,1085.1052,1.4824,-12128.0,401.0,-6396.9621,1.207,106,1.5142857142857142,-12,-20,0,,6867.0841,36,12.689437900000001
114,Nb,41,7033.0,583.0,,,,,23640.0,662.0,,,9619.0,583.0,73,1.7804878048780488,-9,-9,0,,2821.0,32,7.033
195,Ir,77,13298.6497,0.1255,16038.6192,39.1455,233.1739,10.2837,874.7427,1.6114,-11721.0,200.0,-5003.5348,1.2584,118,1.5324675324675325,-5,-8,0,,7231.86,41,13.2986497
56,Sc,21,7220.551,260.0405,34944.0,477.0,-10803.1358,261.8212,20667.5521,313.6258,-33275.0,564.0,8245.3022,261.2655,35,1.6666666666666667,1,7,0,,2745.0587,14,7.220551
276,Ds,110,12800.0,672.0,5445.0,721.0,11110.0,200.0,-7821.0,742.0,-1242.0,808.0,-10927.0,706.0,166,1.509090909090909,-16,40,0,,7198.0,56,12.8
80,Kr,36,19857.8078,0.7576,15445.4455,0.716,-5066.4115,0.6948,-7581.9875,3.5329,-9264.9602,0.7282,-15161.9948,2.0562,44,1.2222222222222223,8,-6,0,,11522.4833,8,19.8578078
92,Rh,45,27508.0,200.0,6852.3412,4.4963,-3753.7096,5.9971,-25469.0,400.0,5698.5911,4.9749,-24901.0,423.0,47,1.0444444444444445,-5,-3,0,,12501.0,2,27.508
283,Nh,113,13389.0,530.0,5348.0,889.0,10417.0,112.0,,,-468.0,733.0,,,170,1.5044247787610618,-13,44,0,,7237.0,57,13.389
182,W,74,14752.5372,1.5854,13044.61,1.569,1764.3059,1.5633,-3637.0348,21.7582,-8132.1571,1.5706,-9800.0503,12.5401,108,1.4594594594594594,-8,-18,0,,8083.5172,34,14.7525372
44,Ti,22,28586.869,0.7497,13579.235,0.7153,-5127.1001,0.7,-24126.6876,51.237,-6428.6846,0.7357,-27703.5466,42.8545,22,1.0,2,2,0,,16304.3134,0,28.586869
123,Cd,48,12482.9829,3.3227,25809.788,4.3027,-8431.8221,8.677,10400.4993,3.6578,-20086.9855,19.7463,-1914.1406,50.1321,75,1.5625,-2,-7,0,,4873.1171,27,12.482982900000001
64,Fe,26,12234.1315,5.7429,28694.8827,6.0869,-10485.9676,5.1402,12129.4819,5.0385,-26080.2235,72.8296,-1189.3171,19.2407,38,1.4615384615384615,-2,10,0,,7405.2409,12,12.2341315
174,Tm,69,12633.6029,45.056,16959.0,201.0,-51.9228,67.0964,1705.7713,44.7488,-11803.0,301.0,-4384.6045,44.7214,105,1.5217391304347827,-13,-21,0,,5679.7715,36,12.6336029
161,W,74,21216.0,361.0,2232.0,201.0,5922.8816,3.6258,-20311.0,447.0,8143.0,201.0,-21700.0,361.0,87,1.1756756756756757,-8,5,0,,9249.0,13,21.216
44,Cl,17,11789.8398,104.2863,36148.7577,127.8608,-14764.7,119.6316,15302.5243,85.5675,-32808.0,312.0,3459.5192,85.731,27,1.588235294117647,-3,-1,0,,4390.781,10,11.7898398
42,Ca,20,19843.5275,0.147,18085.3354,0.1484,-6257.3824,0.245,-13442.94,0.2257,-12768.7548,0.3777,-17976.2514,0.1579,22,1.1,0,2,1,,11480.7032,2,19.8435275
76,Fe,26,6073.0,781.0,,,,,31600.0,671.0,,,11899.0,721.0,50,1.9230769230769231,-2,0,1,,3962.0,24,6.073
44,K,19,16902.1032,0.4324,25527.6701,59.6171,-10648.5952,32.0682,2034.5372,1.8049,-18910.9583,61.8599,-5443.9432,0.4769,25,1.3157894736842106,-1,-3,0,,7277.4215,6,16.902103200000003
200,Po,84,17611.0413,18.9378,5452.183,11.5073,5981.6352,1.847,-12941.2291,9.5263,1001.08,10.1963,-16189.6242,9.2967,116,1.380952380952381,2,-10,0,,9774.1726,32,17.6110413
168,Sm,62,7333.0,500.0,,,,,16510.0,424.0,,,4059.0,500.0,106,1.7096774193548387,12,-20,0,,4382.0,44,7.333
80,Ga,31,11662.2253,3.0754,29012.1426,13.6416,-10666.963,3.0319,12990.9266,4.4126,-24104.6067,105.0192,2232.187,37.273,49,1.5806451612903225,3,-1,0,,4746.6373,18,11.6622253
147,Dy,66,22096.0757,10.992,5847.3635,21.6108,1610.348,200.4969,-17588.2329,39.2031,4600.8051,9.7429,-21029.1382,11.0314,81,1.2272727272727273,16,-1,0,,9712.4375,15,22.0960757
221,Po,84,9050.24,25.1676,15424.0,400.0,5089.0,301.0,5302.4026,20.3789,-11646.0,400.0,-2673.3097,24.039,137,1.630952380952381,2,11,0,,3561.0236,53,9.05024
153,Dy,66,16533.4446,4.9042,9532.2185,4.7975,3559.0607,3.6167,-8676.5147,9.9733,-1724.864,3.9055,-13609.879,13.1342,87,1.3181818181818181,16,5,0,,7096.5515,21,16.5334446
135,Te,52,10934.2935,2.6898,21432.8421,2.5674,-2889.1273,4.0097,8684.5745,4.0526,-18584.0026,3.6051,-1756.6685,5.1531,83,1.5961538461538463,2,1,0,,3266.356,31,10.934293499999999
91,Tc,43,24734.4369,4.4909,9938.8448,23.7474,-4537.0803,7.2008,-17417.0,298.0,-614.0977,4.0726,-19174.1743,4.4157,48,1.1162790697674418,-7,-2,0,,13333.2792,5,24.734436900000002
21,O,8,11413.4601,12.2863,38929.6628,99.1186,-15394.7616,21.1078,13793.8102,12.0001,-36730.504,230.9367,8.179,12.0,13,1.625,0,5,1,,3805.456,5,11.4134601
205,Ra,88,18940.1138,24.7469,2590.0444,23.5024,7486.3498,20.3988,,,6484.9974,23.9577,,,117,1.3295454545454546,6,-9,0,,8328.5624,29,18.9401138
