A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(n)_MeV
189,Hf,72,10293.0,361.0,,,-1095.0,583.0,8659.0,361.0,,,-1311.0,361.0,117,1.625,-10,-9,0,,4392.0,45,4.392
128,La,57,19794.5993,105.6229,8852.6981,55.4244,690.7057,55.2114,-12294.6753,62.0731,325.617,54.7327,-14717.4132,61.6312,71,1.2456140350877194,7,-11,0,,8800.6405,14,8.8006405
260,Db,105,13978.0,131.0,5687.0,138.0,9501.0,42.0,-9450.0,217.0,533.0,117.0,-10918.0,204.0,155,1.4761904761904763,-21,29,0,,6390.0,50,6.39
128,Pd,46,8743.0,640.0,,,-13226.0,781.0,22848.0,500.0,,,6188.0,539.0,82,1.7826086956521738,-4,0,1,,5241.0,36,5.241
161,Lu,71,18996.3763,46.8981,6569.8873,39.5199,3722.0137,39.5199,-13783.7741,37.0859,449.7166,43.0032,-14694.9201,29.5284,90,1.267605633802817,-11,8,0,,10363.725,19,10.363725
57,Ga,31,,,-1648.0,429.0,-4695.0,640.0,,,15931.0,400.0,,,26,0.8387096774193549,3,-2,0,,19641.0,-5,19.641
45,S,16,7288.0,300.0,42248.0,500.0,-18965.0,424.0,26430.0,300.0,-39940.0,583.0,9067.0,312.0,29,1.8125,-4,1,0,,2207.0,13,2.207
170,W,74,18540.5103,18.698,6508.1891,30.9035,4143.2687,30.9035,-13365.1129,16.4119,137.1195,30.9035,-16952.8755,17.4158,96,1.2972972972972974,-8,14,0,,10444.2561,22,10.4442561
196,Pb,82,17283.0045,19.0011,7742.2247,8.2332,4238.3307,17.2767,-11879.5032,9.3909,-1623.8637,24.3532,-15393.9859,9.3485,114,1.3902439024390243,0,-12,1,,9681.5131,32,9.6815131
79,Kr,36,20415.4743,3.9925,14420.7348,3.4807,-4697.7164,3.4812,-8962.6255,8.1923,-4705.3092,3.483,-15578.1804,4.7534,43,1.1944444444444444,8,-7,0,,8335.3244,7,8.3353244
116,Pd,46,12483.316,9.8809,24187.7555,7.8738,-6625.0692,11.9608,8881.4626,7.1367,-21014.7018,26.1277,-2919.7576,19.6067,70,1.5217391304347827,-4,-12,0,,7476.5223,24,7.4765223
258,Db,105,14933.0,209.0,4816.8424,123.7364,9436.8999,10.0,,,1553.0,102.0,,,153,1.457142857142857,-21,27,0,,6717.9007,48,6.7179007
224,Rn,86,10069.4947,10.0049,14619.1114,41.2391,4756.7202,20.2374,3619.2659,9.98,-11922.0,196.0,-4008.549,10.0025,138,1.6046511627906976,4,12,0,,6015.9581,52,6.0159581
41,V,23,38403.0,447.0,95.0,202.0,-5895.0,361.0,,,13545.0,200.0,,,18,0.782608695652174,3,-2,0,,20231.0,-5,20.231
213,At,85,11074.9665,5.2666,9298.3476,7.2027,9254.1513,4.7039,-3025.3221,6.7181,-5750.5498,5.0484,-5991.6203,5.5868,128,1.5058823529411764,3,2,0,,6022.6908,43,6.0226908
164,Pm,61,8462.0,500.0,,,-4585.0,565.0,14872.0,400.0,,,4168.0,400.0,103,1.6885245901639345,11,21,0,,3472.0,42,3.472
70,Ge,32,19725.8735,2.0476,15132.824,1.0477,-4087.7235,1.0276,-8632.1366,1.7832,-9433.101,1.0599,-15521.1729,32.0098,38,1.1875,4,10,0,,11532.6802,6,11.532680200000001
107,Sr,38,6203.0,860.0,,,,,25770.0,761.0,,,9469.0,860.0,69,1.8157894736842106,10,-13,0,,2021.0,31,2.021
111,Rh,45,13447.2561,7.9219,22598.9846,11.8516,-5978.8199,11.0534,5911.5761,7.0045,-18558.2785,11.7114,-2044.2846,6.8782,66,1.4666666666666666,-5,16,0,,7546.4963,21,7.546496299999999
242,Bk,97,14055.0,202.0,8336.0,135.0,6906.0,147.0,-7050.0,290.0,-2471.0,135.0,-9646.0,215.0,145,1.4948453608247423,15,19,0,,6300.0,48,6.3
152,Nd,60,12612.3483,24.4549,19880.7427,27.1272,-2176.155,26.91,4613.3139,24.4577,-16213.5763,30.2048,-4834.7213,24.8603,92,1.5333333333333334,10,10,0,,7277.798,32,7.277798
201,Rn,86,18690.2023,12.4774,3446.526,11.4854,6860.7498,2.2816,-16044.2295,22.6842,5545.2997,12.6442,-18312.3092,32.1585,115,1.3372093023255813,4,-11,0,,8178.2764,29,8.1782764
179,Yb,70,11796.0,200.0,18360.0,541.0,-413.0,448.0,3823.0,200.0,-13669.0,629.0,-4373.0,200.0,109,1.5571428571428572,-12,-17,0,,5034.0,39,5.034
19,O,8,12001.0141,2.637,32276.9638,17.5639,-8965.2032,2.7556,1580.8043,2.6418,-28875.3789,30.1157,-5611.5727,2.6774,11,1.375,0,3,1,,3955.6439,3,3.9556439
281,Cn,112,13216.0,560.0,5655.0,724.0,10429.9999,64.0312,,,338.0,847.0,-11364.0,564.0,169,1.5089285714285714,-14,43,0,,5779.0,57,5.779
90,Tc,43,25197.0308,4.2247,9131.0832,57.8176,-4015.5513,5.5935,-19091.0,200.0,2612.0874,23.6518,-20426.5903,24.2405,47,1.0930232558139534,-7,-3,0,,11401.1576,4,11.401157600000001
92,Kr,36,9952.7053,3.2815,27547.048,329.76,-7310.0413,4.309,14098.0421,4.3609,-25478.1699,433.1532,904.4019,8.2557,56,1.5555555555555556,8,6,0,,5866.6729,20,5.866672899999999
83,Zr,40,24529.8773,92.4418,8961.4675,7.1503,-2856.9112,9.8193,-19572.0,401.0,2809.4318,8.7888,-22173.0,300.0,43,1.075,-10,-7,0,,10368.9143,3,10.3689143
149,Sm,62,14012.4863,0.9054,13567.0458,0.9762,1871.1905,0.9714,-2008.7249,3.2074,-7016.8033,1.8675,-8909.734,9.9776,87,1.403225806451613,12,5,0,,5871.1496,25,5.8711496
206,Au,79,9943.0,361.0,19198.0,500.0,25.0,424.0,8063.0,300.0,-15879.0,583.0,26.0,300.0,127,1.6075949367088607,-3,1,0,,3691.0,48,3.691
129,Xe,54,16517.8227,4.0881,14993.5151,1.365,-2099.1917,1.3519,-3635.2041,10.5036,-6991.2473,0.7063,-10835.6152,5.3762,75,1.3888888888888888,4,-7,0,,6906.8535,21,6.9068535
154,Pr,59,10244.1684,101.7087,23148.0,316.0,-3973.3709,100.0369,10407.0,103.0776,-19089.0,316.0,1399.4593,100.043,95,1.6101694915254237,9,13,0,,4362.4307,36,4.3624307
140,Tb,65,23024.0,855.0,3310.5444,800.9755,3336.0,824.0,-21165.0,944.0,7626.8025,800.5959,-20853.0,944.0,75,1.1538461538461537,15,-7,0,,10423.0,10,10.423
40,Ti,22,36506.0,308.0,1512.8775,68.244,-4967.1884,79.1025,,,11000.2968,68.2463,-39635.0,405.0,18,0.8181818181818182,2,-2,0,,19565.0,-4,19.565
194,Pt,78,14614.2122,2.5317,13455.7405,2.2722,1522.8078,0.4791,-2576.1496,2.93,-8654.6717,2.2777,-9426.5903,8.6746,116,1.4871794871794872,-4,-10,0,,8351.7426,38,8.3517426
255,Rf,104,15455.0,448.0,4607.0,181.0,9055.4615,3.9223,,,2317.0,181.0,,,151,1.4519230769230769,22,25,0,,6943.0,47,6.943
66,V,23,6123.0,640.0,,,-16035.0,781.0,30451.0,500.0,,,13939.0,539.0,43,1.8695652173913044,3,-7,0,,2261.0,20,2.261
177,Ta,73,15448.7287,28.1408,11127.0089,3.1084,2741.353,3.2653,-5445.5702,28.1408,-5621.3833,3.105,-9144.4549,28.1408,104,1.4246575342465753,-9,22,0,,8420.684,31,8.420684
89,Ge,32,5593.0,500.0,,,-10365.0,640.0,25952.0,400.0,,,9338.0,447.0,57,1.78125,4,7,0,,1592.0,25,1.592
242,Np,93,11041.9888,200.7234,14171.0,283.0,4097.9171,200.6298,1948.8627,200.0013,-9613.0,361.0,-3609.5572,200.0012,149,1.6021505376344085,11,23,0,,4969.5572,56,4.969557200000001
163,Pm,61,9016.0,400.0,25048.0,640.0,-4615.0,565.0,13614.0,400.0,,,3348.0,400.0,102,1.6721311475409837,11,20,0,,4991.0,41,4.991
101,Ag,47,20764.5374,7.9158,10327.8046,20.0433,-1161.7358,35.7916,-12789.4828,12.6258,-3032.2252,18.7598,-15211.1068,5.1205,54,1.148936170212766,-3,4,0,,11267.7328,7,11.2677328
101,Kr,36,6323.0,640.0,,,,,26745.0,500.0,,,9614.0,500.0,65,1.8055555555555556,8,15,0,,2181.0,29,2.181
182,W,74,14752.5372,1.5854,13044.61,1.569,1764.3059,1.5633,-3637.0348,21.7582,-8132.1571,1.5706,-9800.0503,12.5401,108,1.4594594594594594,-8,-18,0,,8083.5172,34,8.083517200000001
160,Pm,61,9931.132,2.2333,23323.0,300.0,-3870.2476,2.2912,10598.81,2.2396,-19414.0,400.0,1241.8926,6.2776,99,1.6229508196721312,11,17,0,,4411.6056,38,4.4116056
82,Se,34,15977.0439,0.9294,22636.5229,2.1065,-8156.7527,3.5661,2997.9001,0.4659,-18591.171,2.1066,-7688.1624,1.0826,48,1.411764705882353,6,-2,0,,9276.1941,14,9.276194100000001
268,Bh,107,13540.0,415.0,6612.0,475.0,9020.0,300.0,-8444.0,447.0,-596.0,535.0,-10022.0,393.0,161,1.5046728971962617,-19,35,0,,6130.0,54,6.13
257,Db,105,15583.0,327.0,4370.9621,165.5823,9205.8985,20.2783,,,1118.7113,184.329,,,152,1.4476190476190476,-21,26,0,,8215.0,47,8.215
214,Fr,87,13584.965,12.2273,6908.1204,8.6992,8588.8563,3.6543,-7391.5988,16.0006,-1667.7766,9.6944,-9375.2025,12.9941,127,1.4597701149425288,5,1,0,,5475.4457,40,5.4754457
115,Nb,41,6813.0,640.0,,,,,24917.0,537.0,,,10729.0,583.0,74,1.8048780487804879,-9,-8,0,,3991.0,33,3.991
95,Se,34,5743.0,640.0,,,,,25699.0,501.0,,,9118.0,539.0,61,1.7941176470588236,6,11,0,,1728.0,27,1.728
242,Cf,98,14744.3738,22.128,6915.1826,12.958,7516.8626,4.0673,-9013.0,401.0,-1603.7594,12.9518,-12578.0,231.0,144,1.469387755102041,16,18,0,,8011.0,46,8.011
8,He,2,2125.0484,0.1034,,,,,26668.0112,0.0955,,,8631.2602,0.0887,6,3.0,0,-2,1,,2534.7627,4,2.5347627000000004
57,Co,27,21458.2977,0.543,16211.0579,0.4719,-7080.224,0.5966,-12036.6437,0.5978,-9722.963,0.4906,-13509.3271,0.5241,30,1.1111111111111112,-1,2,0,,11376.4582,3,11.376458199999998
103,Rh,45,16761.9136,6.1774,16265.0549,24.1066,-3128.7521,2.4642,-3229.0031,4.7004,-10747.7552,9.439,-8200.0605,2.2649,58,1.288888888888889,-5,8,0,,9319.7075,13,9.3197075
243,U,92,9860.0,358.0,,,3555.0,500.0,4725.0,300.0,,,-3008.0,361.0,151,1.641304347826087,10,25,0,,4211.0,59,4.211
133,La,57,17867.7632,39.5199,12016.7598,27.9454,-420.2576,28.3133,-7556.8004,30.612,-5630.6696,27.964,-11097.0221,34.6029,76,1.3333333333333333,7,-6,0,,9842.1323,19,9.8421323
163,Dy,66,14467.9998,0.0759,15452.6581,1.4892,-243.9163,0.9935,-1213.445,4.5755,-9389.1088,3.957,-8411.6131,3.0926,97,1.4696969696969697,16,15,0,,6271.0063,31,6.2710063
191,Bi,83,19317.3236,22.1545,3201.188,11.2283,6780.325,3.0414,-17103.2645,17.7584,3837.9134,10.4232,-16747.9612,15.1434,108,1.3012048192771084,1,-18,0,,10714.7638,25,10.7147638
136,Ba,56,16079.7131,0.1067,15339.1868,0.2448,-2033.0205,0.2448,-2378.5294,0.2126,-9762.6854,3.6667,-10314.9397,9.43,80,1.4285714285714286,6,-2,0,,9107.7424,24,9.1077424
158,W,74,,,451.0,335.0,6612.4547,2.6394,,,7873.0,361.0,,,84,1.135135135135135,-8,2,0,,12074.0,10,12.074
150,Ce,58,10591.0746,16.1905,21879.8937,11.7913,-2405.5101,11.8299,8833.0884,11.75,-19305.2143,11.9641,-1878.8077,15.3071,92,1.5862068965517242,8,10,0,,6248.2602,34,6.2482602
72,Ga,31,15820.7698,1.4512,20189.8454,1.3562,-5446.1568,1.7824,-358.4756,4.1644,-13166.1205,1.7002,-6752.9451,0.2106,41,1.3225806451612903,3,-9,0,,6520.4752,10,6.5204752
154,Tb,65,15582.0392,60.4316,11846.1488,45.304,2210.747,45.72,-5517.3283,46.0354,-4078.2112,45.3042,-9084.8281,45.4665,89,1.3692307692307693,15,7,0,,6914.4147,24,6.9144147
124,Ba,56,20623.4701,30.612,8312.7396,16.7224,657.7328,17.1999,-14174.0,298.0,-1130.499,15.7187,-18510.0,196.0,68,1.2142857142857142,6,-14,0,,11506.1405,12,11.506140499999999
175,Hg,80,21451.0,216.0,610.6265,102.9478,7072.2101,4.6585,,,10059.1937,81.7409,,,95,1.1875,-2,13,0,,9399.7437,15,9.3997437
145,Ce,58,11603.3164,33.9617,17707.7955,34.5671,240.5176,34.3143,4364.9458,33.8924,-12588.8999,34.6434,-4387.7885,33.9776,87,1.5,8,5,0,,4706.4346,29,4.7064346
95,Tc,43,18557.8749,5.1795,13386.4571,5.293,-1808.2432,5.862,-7680.7384,6.3955,-6941.2629,5.2932,-11509.0708,5.9735,52,1.2093023255813953,-7,2,0,,9934.3412,9,9.9343412
209,Ra,88,17798.3837,58.5682,4084.9602,7.4503,7143.0886,2.686,-14537.0,103.0,4224.6585,11.6461,-16973.9322,64.7385,121,1.375,6,-5,0,,7941.0114,33,7.941011400000001
46,V,23,29410.454,7.2661,13837.8041,1.7606,-7379.8098,0.2036,-24658.149,86.6291,-3292.5467,0.665,-25632.4135,35.397,23,1.0,3,3,0,,13260.7735,0,13.260773499999999
227,Fr,87,10280.7929,13.3416,15195.0,300.0,3829.5211,15.1664,3832.9302,6.2051,-12266.0,300.0,-2056.4486,6.2053,140,1.6091954022988506,5,14,0,,5909.4124,53,5.9094124
244,Np,93,10319.0,223.0,,,3805.0,224.0,3361.0,100.0,,,-2586.0,100.0,151,1.6236559139784945,11,25,0,,4637.0,58,4.637
169,Dy,66,11827.1948,300.6958,19398.2199,300.7143,-1495.1435,300.672,5325.1534,300.6691,-14735.0,425.0,-3608.0965,302.1621,103,1.5606060606060606,16,21,0,,5108.9299,37,5.1089299
115,In,49,16311.8692,0.1881,17087.4738,16.6428,-3745.8253,1.4587,-2532.9444,16.0253,-11894.5169,4.5643,-7047.9393,0.0268,66,1.346938775510204,-1,16,0,,9037.8675,17,9.0378675
171,Lu,71,15888.5745,3.5354,11131.7535,2.0028,2289.7352,2.2468,-6108.1869,28.0068,-5322.1225,2.0005,-9645.9232,28.0068,100,1.408450704225352,-11,18,0,,8593.5498,29,8.5935498
162,Eu,63,11372.1313,1.5947,20406.2473,2.4344,-2041.7169,1.5858,7156.6039,2.4344,-15925.3261,9.1305,-1288.1201,1.9972,99,1.5714285714285714,13,17,0,,5002.6608,36,5.002660799999999
186,Pt,78,16674.597,26.2724,8189.8241,21.7613,4319.7459,18.1557,-9325.3884,24.6697,-2347.5102,21.7614,-14077.6156,21.9013,108,1.3846153846153846,-4,-18,0,,9247.6215,30,9.2476215
160,Lu,71,19200.3779,58.7996,6144.6842,62.1664,4139.5589,58.5877,-14446.2426,78.6056,3011.4907,63.321,-15488.6543,59.2564,89,1.2535211267605635,-11,7,0,,8632.6513,18,8.6326513
45,Ar,18,13903.6267,5.3343,32153.2829,4.9966,-13187.1372,4.1305,11041.429,0.6293,-27855.5362,5.2415,-2060.6216,0.662,27,1.5,-2,-1,0,,5168.859,9,5.168859
94,Se,34,6222.0,640.0,,,-10758.0,707.0,24544.0,500.0,,,8016.0,660.0,60,1.7647058823529411,6,10,0,,4015.0,26,4.015
153,Er,68,18343.0278,18.9066,6292.2359,9.657,4802.3924,1.404,-13307.0,200.0,2362.3102,10.1851,-16817.7214,54.8187,85,1.25,-14,3,0,,8037.7816,17,8.0377816
76,Kr,36,22824.498,4.49,11378.4376,4.0133,-3570.433,4.4646,-14766.0604,34.6982,-4133.1879,4.0139,-19866.3222,4.1832,40,1.1111111111111112,8,-10,0,,12761.3923,4,12.761392299999999
169,Er,68,13774.5436,0.1948,15587.6543,4.0169,266.2097,0.7385,-545.636,0.3276,-9651.7363,140.0069,-7680.1026,1.6928,101,1.4852941176470589,-14,19,0,,6003.25,33,6.00325
288,Nh,113,12130.0,915.0,7119.0,836.0,9575.0,860.0,-5696.0,881.0,,,-8030.0,933.0,175,1.5486725663716814,-13,49,0,,5557.0,62,5.557
23,N,7,4654.1225,441.4155,56240.3999,699.2744,-25474.7374,672.9671,33435.1656,421.8875,,,19366.0789,424.404,16,2.2857142857142856,-1,-4,0,,3115.6936,9,3.1156936
219,Ra,88,12638.3192,9.6681,8842.6556,7.8482,8137.9268,3.0559,-5068.9273,56.8465,-3112.5318,7.0223,-9528.3104,57.9952,131,1.4886363636363635,6,5,0,,5323.0217,43,5.3230217
111,Mo,42,9423.165,16.8277,28788.0,500.0,-8345.0,300.0,16845.5119,15.4271,-25009.0,500.0,3023.432,15.3154,69,1.6428571428571428,-8,-13,0,,3475.3171,27,3.4753171000000003
104,Ag,47,19012.4045,9.1951,12911.0961,7.6717,-1950.2558,18.6092,-8933.7953,7.1512,-4373.7356,4.8028,-12536.1617,4.5896,57,1.2127659574468086,-3,7,0,,8385.0857,10,8.3850857
168,Dy,66,12116.5635,140.0092,18765.4139,140.0158,-1289.6262,140.0104,4430.8333,140.0068,-15071.6371,140.1039,-4350.2574,140.0893,102,1.5454545454545454,16,20,0,,6718.265,36,6.718265000000001
109,Ag,47,16455.3672,2.7071,16433.6616,12.0816,-3293.0765,2.8131,-2229.9049,4.0857,-10977.246,14.0554,-7538.3261,1.4835,62,1.3191489361702127,-3,12,0,,9183.9572,15,9.1839572
108,Ru,44,13480.7877,9.9471,22111.3431,12.5973,-5742.5722,12.4256,5862.8112,8.7505,-18405.4003,12.665,-4869.0109,14.8516,64,1.4545454545454546,-6,14,0,,7870.1566,20,7.8701566000000005
19,F,9,19581.7825,0.2479,23935.466,15.0,-4013.7991,0.001,-14416.8296,10.5351,-21889.5836,18.5695,-14876.3806,0.3634,10,1.1111111111111112,1,2,0,,10431.8757,1,10.4318757
179,W,74,15736.152,31.5165,10992.4436,14.5151,2761.6004,14.6457,-6275.1094,21.2784,-4148.8521,14.5142,-11713.1073,31.5165,105,1.4189189189189189,-8,-21,0,,6959.4991,31,6.9594991
119,La,57,24892.0,361.0,3104.0,306.0,2255.0,317.0,,,6101.0,300.0,,,62,1.087719298245614,7,12,0,,13471.0,5,13.471
132,Sb,51,13492.2309,14.4249,24306.694,3.0477,-7870.0808,2.799,6068.22,4.7554,-18899.8834,3.309,-2495.5781,2.4677,81,1.588235294117647,1,-1,0,,5725.188,30,5.725188
70,Kr,36,31617.0,539.0,1489.0,200.0,-1865.0,283.0,,,8045.0,200.0,,,34,0.9444444444444444,8,6,0,,17031.0,-2,17.031
95,Cd,48,,,2652.0,676.0,-3311.0,706.0,,,11757.0,566.0,,,47,0.9791666666666666,-2,-3,0,,14687.0,-1,14.687
24,Si,14,39037.0,501.0,3432.7702,19.4727,-9157.4242,19.561,,,8929.8891,19.4721,,,10,0.7142857142857143,6,2,0,,21276.0,-4,21.276
118,Ba,56,23963.0,283.0,3731.0,201.0,2461.0,201.0,,,4697.0,201.0,-24000.0,283.0,62,1.1071428571428572,6,12,0,,12813.0,6,12.813
205,Rn,86,17668.3556,7.7199,4976.8877,6.8801,6386.486,1.8383,-13513.6172,23.3315,3342.3101,11.2496,-16388.3907,25.1009,119,1.3837209302325582,4,-7,0,,7810.9668,33,7.8109668
281,Rg,111,12531.0,882.0,6830.0,1024.0,9900.0,400.0,-6477.0,830.0,-2466.0,979.0,-8393.0,969.0,170,1.5315315315315314,-15,44,0,,6624.0,59,6.624
87,Se,34,10155.1239,3.4352,27880.6481,4.3452,-7874.6064,3.296,14283.3981,2.2546,-24315.1771,437.808,1134.8104,3.8009,53,1.5588235294117647,6,3,0,,3994.2756,19,3.9942756
169,Ir,77,21163.6039,29.6579,1838.0,46.0,6141.0216,3.6646,-20305.0,299.0,6412.5021,38.6409,-19154.6563,151.7348,92,1.1948051948051948,-5,10,0,,11498.5037,15,11.498503699999999
118,Sb,51,17316.8201,5.9716,14324.3874,3.0241,-1851.3124,3.031,-7025.1474,19.9888,-6342.1397,5.6965,-10972.0215,13.7871,67,1.3137254901960784,1,-15,0,,7427.9581,16,7.4279581
42,S,16,10942.5341,4.8648,37882.5658,122.0225,-15892.3645,104.8303,16784.9303,6.4159,-38127.0,300.0,1598.1258,68.7803,26,1.625,-4,-2,0,,6700.4858,10,6.7004858
48,V,23,23544.7442,0.9673,17294.3039,1.1768,-9086.8859,2.0066,-15181.361,6.7687,-7430.1336,2.1592,-17986.2303,5.2865,25,1.0869565217391304,3,-3,0,,10542.2534,2,10.5422534
27,Mg,12,17536.4483,0.0584,27129.0334,29.0454,-11857.4651,0.1146,-2202.0889,0.1173,-22356.6788,18.4288,-10447.7728,0.0737,15,1.25,4,-5,0,,6443.3687,3,6.4433687
115,Ba,56,25353.0,361.0,1295.0,200.0,3175.0,231.0,,,10877.0,201.0,,,59,1.0535714285714286,6,9,0,,11086.0,3,11.086
236,Cm,96,15012.2269,24.4952,7075.1083,18.8516,7066.9897,5.0864,,,-1618.4973,27.0476,-12989.0,401.0,140,1.4583333333333333,14,14,0,,8232.0,44,8.232
171,Os,76,19716.8896,31.715,3957.3136,23.9,5371.0583,4.432,-16830.6692,82.9817,5704.5955,22.517,-19186.0,103.0,95,1.25,-6,13,0,,8442.8644,19,8.442864400000001
52,Ar,18,4292.0,781.0,,,-16194.0,781.0,32887.0,600.0,,,13065.0,600.0,34,1.8888888888888888,-2,6,0,,2961.0,16,2.961
57,Ni,28,26890.6357,0.8106,13180.4813,0.5455,-7561.3934,1.7267,-23534.0,200.0,-2765.7687,0.51,-25525.5463,6.4197,29,1.0357142857142858,0,1,1,,10247.63,1,10.24763
108,I,53,25614.0,412.0,876.0,102.0,4098.6662,4.6084,,,10593.0,101.0,,,55,1.0377358490566038,3,5,0,,11413.0,2,11.413
147,Dy,66,22096.0757,10.992,5847.3635,21.6108,1610.348,200.4969,-17588.2329,39.2031,4600.8051,9.7429,-21029.1382,11.0314,81,1.2272727272727273,16,-1,0,,9712.4375,15,9.7124375
171,Au,79,21916.0,299.0,46.8294,31.1779,7085.2291,10.6974,,,8331.0,102.0,-21049.0,302.0,92,1.1645569620253164,-3,10,0,,11930.0,13,11.93
109,Y,39,6653.0,860.0,,,,,24210.0,822.0,,,10398.0,806.0,70,1.794871794871795,11,-12,0,,3772.0,31,3.772
198,Bi,83,17507.4546,36.8359,6455.1947,30.1129,5138.7308,30.9092,-12665.1043,28.0036,1691.3996,30.7314,-14052.0906,29.2811,115,1.3855421686746987,1,-11,0,,7757.9735,32,7.7579735
211,Hg,80,7923.0,250.0,,,1324.0,447.0,10103.0,200.0,,,785.0,201.0,131,1.6375,-2,5,0,,3161.0,51,3.161
190,Tl,81,18172.4691,30.7706,6572.8632,7.7384,4923.7044,22.1858,-13770.3302,22.1912,1926.7513,21.3504,-14593.5346,15.822,109,1.345679012345679,-1,-17,0,,7821.4484,28,7.8214484
125,Ba,56,20156.6489,16.3545,8998.6603,14.5507,387.1047,15.0247,-13011.0,196.0,709.4579,11.0758,-17481.6769,57.7251,69,1.2321428571428572,6,-13,0,,8650.5084,13,8.650508400000001
111,Zr,40,6893.0,781.0,,,-10655.0,922.0,23460.0,600.0,,,7758.0,1031.0,71,1.775,-10,-11,0,,2331.0,31,2.331
252,Cm,96,10076.0,298.0,,,,,3021.0,298.0,,,-4243.0,298.0,156,1.625,14,30,0,,5663.0,60,5.663
140,I,53,7768.9492,13.4974,23534.0,300.0,-1524.249,13.4396,13443.5156,14.6239,-20845.0,400.0,3967.0454,12.2975,87,1.6415094339622642,3,5,0,,3206.5769,34,3.2065769
39,Ar,18,18437.1527,5.0043,20923.7116,5.0039,-6820.9014,5.0002,-5959.4888,5.0354,-13669.9505,8.7429,-12512.7537,5.0038,21,1.1666666666666667,-2,1,0,,6598.6867,3,6.5986867
57,V,23,11452.5633,88.9662,28170.8975,105.2632,-8090.4245,86.5939,13051.216,84.7793,-26208.1858,273.1503,2778.7463,84.7679,34,1.4782608695652173,3,6,0,,6322.9807,11,6.3229807000000005
133,Xe,54,15372.6442,2.4,17010.5036,2.4008,-3063.6147,2.5031,-90.071,2.5969,-9744.3571,4.2325,-8562.2079,2.614,79,1.462962962962963,4,-3,0,,6435.9266,25,6.4359266
110,Rh,45,13940.1732,22.6472,21483.8044,19.8052,-5477.3562,21.5959,4628.6134,17.8478,-15834.8354,20.2196,-3293.5271,17.8385,65,1.4444444444444444,-5,15,0,,5900.7599,20,5.9007599
72,Se,34,22080.9253,2.5168,11884.0947,2.121,-3314.3058,2.7106,-13927.6067,8.2462,-5250.5031,2.1191,-19437.0804,5.7453,38,1.1176470588235294,6,10,0,,12792.9921,4,12.7929921
141,Pm,61,19164.5396,19.49,10272.2217,14.4411,253.966,16.1683,-10597.285,18.8405,-3125.6759,15.2628,-13138.3045,18.746,80,1.3114754098360655,11,-2,0,,10382.2035,19,10.3822035
174,Re,75,18248.8985,45.2323,6921.0606,39.5199,4039.6532,39.5199,-12887.1642,30.1137,1434.4712,39.5199,-14306.1689,31.6968,99,1.32,-7,17,0,,8190.5493,24,8.190549299999999
188,Au,79,16799.0947,21.1405,7776.9064,16.7449,4814.6247,28.0751,-10034.9119,30.0256,-110.9091,28.0751,-12324.1237,13.145,109,1.379746835443038,-3,-17,0,,7413.8524,30,7.4138524
132,Cd,48,5490.4679,64.0928,32313.0,306.0,-8500.0,504.0,26081.1243,60.1,-32014.0,306.0,9487.6219,60.108,84,1.75,-2,2,0,,3324.987,36,3.324987
232,Th,90,11558.4379,1.063,13647.538,10.3939,4081.5999,1.4,837.2647,2.1539,-10058.7492,11.4583,-6048.9459,1.7035,142,1.5777777777777777,8,16,0,,6440.4187,52,6.4404187
195,W,74,10692.0,361.0,,,,,8772.0,305.0,,,-1551.0,361.0,121,1.635135135135135,-8,-5,0,,4401.0,47,4.401
98,In,49,31959.0,586.0,3973.0,317.0,-3929.0,503.0,,,9709.0,305.0,,,49,1.0,-1,-1,0,,14588.0,0,14.588
23,Mg,12,32520.1613,0.7552,14319.8403,0.0499,-9650.644,0.1632,-29423.0,500.0,-4737.9299,0.0363,-31746.0,401.0,11,0.9166666666666666,4,3,0,,13145.0063,-1,13.145006299999999
96,Ru,44,19639.4191,3.1477,12244.2479,0.1597,-1696.7139,0.2313,-9896.9656,4.1948,-5657.4838,0.1307,-15811.0867,3.8895,52,1.1818181818181819,-6,2,0,,10693.9444,8,10.6939444
155,Tb,65,16079.4654,10.5177,12460.915,9.8161,977.7429,9.8155,-5210.6405,16.6968,-6801.0436,9.8181,-8927.7427,12.2765,90,1.3846153846153846,15,8,0,,9165.0508,25,9.165050800000001
40,Al,13,3792.0,335.0,47663.0,776.0,-19507.0,750.0,36960.0,311.0,-48445.0,801.0,18429.0,329.0,27,2.076923076923077,5,-1,0,,740.0,14,0.74
159,Tb,65,14911.3694,0.7891,14651.3895,4.252,-139.1605,1.1453,-2202.9613,2.9222,-9551.0913,2.3124,-7196.7477,2.4188,94,1.4461538461538461,15,12,0,,8133.0163,29,8.1330163
115,Cs,55,24078.0,103.0,3158.0,103.0,2829.0,103.0,,,5651.0,104.0,-21865.0,145.0,60,1.0909090909090908,5,10,0,,13085.0,5,13.085
202,Tl,81,15075.828,6.0256,13318.2675,26.7784,1175.4578,1.8889,-5229.5649,14.1183,-6868.6846,3.6307,-8780.7044,13.8623,121,1.4938271604938271,-1,-5,0,,6870.9586,40,6.8709586
