A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(n)_MeV
186,W,74,12945.7856,1.1567,15587.0916,39.7157,1116.118,6.2789,491.4295,1.1887,-11477.7689,64.2845,-6760.8728,1.2382,112,1.5135135135135136,-8,-14,0,,7192.0492,38,7.1920492000000005
242,Am,95,12184.7321,13.7875,11426.1574,17.0161,5588.5003,0.2537,-2284.0,135.0,-6136.0729,100.0002,-6305.0745,1.1727,147,1.5473684210526315,13,21,0,,5537.64,52,5.537640000000001
167,Sm,62,7962.0,640.0,,,-3675.0,707.0,15446.0,500.0,,,3348.0,510.0,105,1.6935483870967742,12,-21,0,,2951.0,43,2.951
105,Cd,48,19824.8593,2.2837,11454.8114,1.6456,-1326.6206,4.7948,-10995.848,4.208,-2227.6976,1.9266,-16222.4929,5.9406,57,1.1875,-2,7,0,,8436.7762,9,8.4367762
86,Ru,44,,,178.0,499.0,-1825.0,565.0,,,10451.0,400.0,,,42,0.9545454545454546,-6,-8,0,,17211.0,-2,17.211
121,Ag,47,11899.7083,19.0474,26157.9709,15.2776,-7930.9884,15.025,11431.7621,29.9739,-23072.0,201.0,1483.2164,12.6697,74,1.574468085106383,-3,-8,0,,6822.6371,27,6.8226371
244,Pu,94,11053.4915,2.5277,13392.0,201.0,4665.6077,1.0159,1354.1857,2.4925,-9963.0,300.0,-5440.3026,2.6458,150,1.5957446808510638,12,24,0,,6019.8585,56,6.019858500000001
127,Pr,59,22616.0,358.0,5362.0,197.0,1683.0,277.0,-19233.0,445.0,3141.0,216.0,-19234.0,358.0,68,1.152542372881356,9,-14,0,,12291.0,9,12.291
150,Pm,61,12874.0951,20.7648,15639.8253,25.0361,651.2348,39.7634,1195.0338,20.9331,-9846.9336,22.3322,-4532.7556,20.0036,89,1.459016393442623,11,7,0,,5604.2492,28,5.6042492
159,Sm,62,11672.8319,7.3774,20291.6749,6.3065,-2348.9691,10.8896,6354.008,6.0135,-15661.6972,6.0753,-3008.7061,6.2715,97,1.564516129032258,12,15,0,,5027.3184,35,5.0273184
82,Mo,42,,,188.0,500.0,-1945.0,565.0,,,9865.0,410.0,,,40,0.9523809523809523,-8,-10,0,,16981.0,-2,16.981
206,Po,84,15990.259,10.8261,7656.7953,4.1267,5327.024,1.2972,-9055.7501,9.4698,-1707.4773,4.1264,-13275.4673,12.703,122,1.4523809523809523,2,-4,0,,8738.588,38,8.738588
185,Bi,83,,,226.0,82.0,8138.0,81.0,,,7359.0,82.0,,,102,1.2289156626506024,1,20,0,,11562.0,19,11.562
141,Pr,59,17328.5173,3.9159,13370.0947,1.5437,-1298.5841,2.2209,-5491.6016,14.0524,-8991.4452,1.5437,-9828.6052,3.5877,82,1.3898305084745763,9,0,1,,9399.6246,23,9.3996246
197,Po,84,18419.0599,11.5647,4232.981,11.0959,6411.2605,3.1793,-14903.4467,18.9591,4666.1851,12.5172,-17551.2215,31.8025,113,1.3452380952380953,2,-13,0,,7995.6651,29,7.9956651
215,Tl,81,7896.0,301.0,,,,,8401.0,300.0,,,2142.0,300.0,134,1.654320987654321,-1,8,0,,4506.0,53,4.506
22,Ne,10,17125.4197,0.0178,26398.8296,0.8851,-9666.8153,0.0177,-7624.7294,0.16,-23375.7206,12.0,-13911.1765,0.0459,12,1.2,2,4,0,,10364.2574,2,10.3642574
92,Ru,44,25560.0458,4.6155,8706.6386,4.4019,-4039.5737,4.6875,-19522.1155,345.0385,618.6523,6.8045,-23803.0,298.0,48,1.0909090909090908,-6,-2,0,,14132.6961,4,14.132696099999999
205,At,85,16964.548,16.0656,6037.568,17.5368,6019.571,1.7179,-11674.7026,14.3715,372.4367,15.1373,-13085.7215,14.1571,120,1.411764705882353,3,-6,0,,9180.5855,35,9.1805855
136,Xe,54,14445.9718,0.0087,18473.36,2.7464,-3665.8889,3.4863,2457.909,0.2448,-15989.3509,1.7223,-6918.5317,0.3635,82,1.5185185185185186,4,0,1,,8087.1234,28,8.087123400000001
43,P,15,6123.0,323.0,44128.0,500.0,-18874.0,424.0,29200.0,306.0,-44239.0,583.0,14607.0,300.0,28,1.8666666666666667,-5,0,1,,4123.0,13,4.123
15,O,8,36402.4456,9.5389,14847.3293,0.4902,-10218.6907,0.4938,-37359.7515,66.6858,-7453.2421,0.4902,-37180.0986,41.1217,7,0.875,0,-1,1,,13223.477,-1,13.223477
78,Ni,28,8832.0,500.0,38868.0,721.0,-16645.0,640.0,22603.0,400.0,,,5912.0,400.0,50,1.7857142857142858,0,0,1,,5601.0,22,5.601
114,Sn,50,18047.3222,0.2951,14562.82,0.2514,-2636.6816,0.3805,-8670.0588,24.4282,-8805.4199,0.2457,-14214.0878,17.1929,64,1.28,0,14,1,,10302.924,14,10.302924
96,Ag,47,28252.0,410.0,6181.9642,90.1472,-3937.4661,90.1902,-26422.0,508.0,6539.9999,90.0,-25527.0,573.0,49,1.0425531914893618,-3,-1,0,,12677.0,2,12.677
209,Au,79,7732.0,500.0,,,945.0,640.0,11415.0,400.0,,,2964.0,401.0,130,1.6455696202531647,-3,4,0,,4391.0,51,4.391
274,Rg,111,14304.0,314.0,3448.0,529.0,11477.8999,86.0233,,,2541.0,473.0,,,163,1.4684684684684686,-15,37,0,,6344.0,52,6.344
220,Fr,87,11719.7444,5.6763,11195.8286,12.1113,6800.7379,1.857,-2261.4233,7.2009,-6202.6604,5.0564,-5982.8389,7.7906,133,1.528735632183908,5,7,0,,5205.9252,46,5.205925199999999
152,Cs,55,7102.0,640.0,,,,,20160.0,583.0,,,7739.0,640.0,97,1.7636363636363637,5,15,0,,2921.0,42,2.921
262,Md,101,11025.0,548.0,,,6540.0,200.0,-438.0,490.0,,,-4859.0,490.0,161,1.5940594059405941,19,35,0,,4983.0,60,4.983
208,At,85,16173.1493,16.1977,7019.6427,11.7381,5751.1098,2.163,-9804.9733,14.6794,295.6823,9.2345,-11906.4775,10.1032,123,1.4470588235294117,3,-3,0,,7313.7374,38,7.3137374
103,Rb,37,6735.0,400.0,,,,,25297.0,400.0,,,10928.0,405.0,66,1.7837837837837838,9,16,0,,3979.0,29,3.979
225,Np,93,15183.121,123.5314,5297.4586,118.7978,8818.2451,69.77,-10772.0,410.0,466.7758,91.9259,-11734.0,314.0,132,1.4193548387096775,11,6,0,,8485.4677,39,8.4854677
75,As,33,18224.0825,3.9531,17912.8016,1.8953,-5319.9921,1.1995,-3927.1833,4.3751,-12273.548,3.1217,-8892.3105,0.8837,42,1.2727272727272727,5,-8,0,,10245.4572,9,10.2454572
81,Sr,38,22191.1061,8.0537,11663.7867,4.6796,-3783.5986,3.6894,-14003.7159,92.271,-923.6503,3.2044,-18451.2898,6.9821,43,1.131578947368421,10,-7,0,,9287.9848,5,9.2879848
191,Tl,81,17809.4815,11.1367,7278.9348,21.3837,4320.9137,23.6688,-13043.5995,10.4912,-738.3819,8.1171,-13937.6619,14.5124,110,1.3580246913580247,-1,-16,0,,9988.0331,29,9.9880331
34,Cl,17,27248.016,0.5638,14713.1516,0.063,-6664.1457,0.0814,-23220.0,196.0,-5391.7064,1.0911,-23127.109,0.4035,17,1.0,-3,-3,0,,11508.0637,0,11.508063700000001
289,Fl,114,12606.0,801.0,6482.0,866.0,9954.1798,65.364,-6992.0,717.0,-754.0,866.0,-10272.0,740.0,175,1.5350877192982457,-12,49,0,,5523.0,61,5.523
64,Fe,26,12234.1315,5.7429,28694.8827,6.0869,-10485.9676,5.1402,12129.4819,5.0385,-26080.2235,72.8296,-1189.3171,19.2407,38,1.4615384615384615,-2,10,0,,7405.2409,12,7.4052409
89,Rb,37,13257.2333,5.4266,22398.6554,6.2852,-5561.8361,6.2387,5998.8035,5.4372,-18285.4025,6.2852,-1862.088,5.4266,52,1.4054054054054055,9,2,0,,7174.7123,15,7.1747123
102,Ag,47,20251.3683,9.5793,11233.5137,19.8818,-1496.3989,14.4405,-11551.8059,9.3633,-2123.2446,10.0436,-14481.554,8.3057,55,1.1702127659574468,-3,5,0,,8983.6355,8,8.9836355
199,Rn,86,19212.8509,17.7612,2744.7103,12.2671,7131.8922,4.0913,,,6624.4607,18.8905,-19208.8627,31.9735,113,1.313953488372093,4,-13,0,,8400.845,27,8.400844999999999
15,B,5,3747.2047,21.0527,42601.4574,73.0931,-14195.795,21.0379,28855.9414,21.029,,,17866.1681,21.029,10,2.0,3,2,0,,2777.6245,5,2.7776245
31,Al,13,12885.5825,2.262,32208.6447,7.6697,-11857.8341,4.3455,9489.8357,2.2356,-30714.3496,5.229,1410.9356,2.2357,18,1.3846153846153846,5,-2,0,,7157.9103,5,7.157910299999999
154,Sm,62,13835.2225,0.8353,16883.8424,24.4719,-1200.5284,1.0516,1250.7944,0.8609,-12414.1551,3.0377,-7159.4153,1.0828,92,1.4838709677419355,12,10,0,,7966.8226,30,7.9668226
176,Er,68,10824.0,499.0,20078.0,641.0,-1296.0,500.0,6861.0,401.0,-17190.0,641.0,-2391.0,404.0,108,1.588235294117647,-14,-18,0,,6050.0,40,6.05
89,Rh,45,,,2539.0,361.0,-2226.0,538.0,,,8731.0,361.0,,,44,0.9777777777777777,-5,-6,0,,16862.0,-1,16.862
55,Fe,26,22676.5745,1.6447,16771.7462,0.3126,-8455.623,0.3403,-12145.4604,0.6622,-7835.0136,0.3105,-17542.6721,0.2098,29,1.1153846153846154,-2,1,0,,9298.1243,3,9.2981243
98,Tc,43,16753.2018,6.1559,15407.3256,3.3814,-2488.0667,3.6936,-3256.9954,12.2972,-8118.3882,5.4229,-8382.9677,4.3638,55,1.2790697674418605,-7,5,0,,7279.0955,12,7.2790955
198,Pb,82,16861.8442,11.5943,8819.4408,9.229,3691.5934,9.214,-10594.1643,19.4588,-2816.1828,9.3151,-14451.5651,12.0831,116,1.4146341463414633,0,-10,1,,9393.3756,34,9.393375599999999
35,Al,13,7868.9837,10.1469,38581.7847,449.9718,-14894.677,15.7918,24634.0795,7.5918,-39192.8151,599.4616,11696.6363,7.4023,22,1.6923076923076923,5,2,0,,5297.429,9,5.297429
60,Zn,30,28018.2349,50.0017,8523.5409,0.4141,-2691.7371,0.544,-26644.0,300.0,-306.6082,0.4172,-28486.0,170.0,30,1.0,2,2,0,,15030.1098,0,15.0301098
134,Te,52,13488.1914,4.4381,20565.1409,3.3832,-4826.4515,3.3242,5592.0821,2.7464,-18948.833,3.3418,-4747.7685,6.5096,82,1.5769230769230769,2,0,1,,7667.9375,30,7.6679375
170,Yb,70,15326.6983,0.0929,12352.6397,0.2614,1735.3,0.3335,-4510.0684,27.9448,-7131.7367,0.3036,-10752.7197,3.0053,100,1.4285714285714286,-12,18,0,,8459.7197,30,8.459719699999999
102,Cd,48,21607.7423,2.3611,9024.9713,17.715,-763.632,5.0251,-14724.8059,100.1183,-1516.5279,4.8798,-19186.1182,11.7799,54,1.125,-2,4,0,,11894.554,6,11.894554
148,Dy,66,21447.1052,10.9966,6351.5156,9.6052,1475.1987,29.2749,-16380.3997,13.4572,208.5602,8.8987,-20173.6137,10.0556,82,1.2424242424242424,16,0,1,,11734.6677,16,11.7346677
182,Lu,71,11236.0,212.0,18178.0,447.0,45.0,361.0,4661.0,200.0,-13619.0,539.0,-2438.0,200.0,111,1.5633802816901408,-11,-15,0,,5044.0,40,5.044
156,Pm,61,12042.8812,25.0492,20885.1873,100.0123,-2833.6932,18.5748,5915.9968,3.726,-16040.4832,17.2376,-2046.9599,1.7846,95,1.5573770491803278,11,13,0,,5298.1598,34,5.2981598000000005
260,No,102,12010.0,224.0,9395.0,283.0,7700.0,200.0,-3538.0,283.0,-5383.0,347.0,-8312.0,212.0,158,1.5490196078431373,20,32,0,,6541.0,56,6.541
125,Cs,55,19188.7219,14.3695,10725.0965,8.5073,-269.0091,9.0032,-10330.2499,27.1237,-4014.1586,8.0024,-13071.2747,14.6978,70,1.2727272727272727,5,-12,0,,10419.9999,15,10.4199999
17,C,6,4983.9018,17.3833,43371.8832,166.7042,-15052.1159,20.1291,21840.6437,17.3649,-43704.2302,166.7042,7276.6542,17.5167,11,1.8333333333333333,-2,3,0,,733.5717,5,0.7335716999999999
76,Co,27,8262.0,640.0,,,-16915.0,781.0,25322.0,500.0,,,10509.0,539.0,49,1.8148148148148149,-1,-1,0,,3171.0,22,3.171
179,Re,75,16457.7731,37.2557,9447.5089,24.8433,3399.4248,37.2557,-8502.5928,26.5055,-3275.0,58.0,-11111.3869,28.1584,104,1.3866666666666667,-7,22,0,,9002.1726,29,9.0021726
242,Pu,94,11551.0792,0.682,12576.5633,2.7209,4984.2282,0.986,-86.8228,0.7717,-8769.0,196.0,-6288.7773,0.7009,148,1.574468085106383,12,22,0,,6309.5572,54,6.3095572
230,Pa,91,12892.6919,5.1293,11299.053,3.3912,5439.4263,0.7102,-3063.0724,55.0819,-5805.3642,12.4847,-7108.3949,6.5947,139,1.5274725274725274,9,13,0,,5794.6232,48,5.7946232
48,S,16,4393.0,640.0,,,-19346.0,707.0,34745.0,500.0,,,13899.0,539.0,32,2.0,-4,4,0,,2882.0,16,2.882
52,Ni,28,35243.0,507.0,2661.3381,83.3258,-6976.1961,124.0042,,,10340.3585,82.9148,,,24,0.8571428571428571,0,4,1,,18981.0,-4,18.981
175,Ta,73,16154.7455,39.5199,10105.5807,27.9887,2994.8969,28.0068,-7120.3409,39.5199,-4127.3318,27.9887,-10252.8773,39.5199,102,1.3972602739726028,-9,20,0,,8739.1993,29,8.739199300000001
251,Es,99,12806.0,31.0,9912.7277,5.2965,6597.11,1.0162,-4455.2017,19.6444,-5729.4294,5.8974,-7631.9637,9.4257,152,1.5353535353535352,17,26,0,,6785.0,53,6.785
162,Yb,70,17800.5726,16.0716,8334.929,28.5653,3057.7361,29.3958,-10652.7375,17.4323,-1908.8359,17.4562,-15330.1321,31.7648,92,1.3142857142857143,-12,10,0,,10058.2332,22,10.0582332
33,P,15,18039.4421,1.09,25964.5838,2.4871,-10554.504,1.1432,-5334.0103,1.1579,-22526.9531,7.2549,-8393.1313,1.09,18,1.2,-5,-2,0,,10103.7921,3,10.1037921
234,U,92,12607.1219,1.5743,11879.6926,0.9222,4857.5319,0.6763,-2205.0269,6.8103,-7875.654,0.9261,-7874.8895,50.972,142,1.5434782608695652,10,16,0,,6845.4697,50,6.8454697
63,Sc,21,3573.0,922.0,,,-18105.0,1063.0,34810.0,778.0,,,17198.0,806.0,42,2.0,1,-8,0,,2312.0,21,2.312
42,Ti,22,32253.5507,68.2442,4835.8935,0.2685,-5470.7658,0.3321,-32164.0,300.0,2744.5838,0.2314,-33486.0,200.0,20,0.9090909090909091,2,0,1,,17478.1327,-2,17.4781327
65,Ge,32,25699.6385,37.3226,8842.7365,2.6679,-2554.2332,16.0459,-23459.0,300.0,2236.8234,2.2582,-25017.0,203.0,33,1.03125,4,5,0,,10234.0385,1,10.2340385
35,Ca,20,41982.0,447.0,3.0,200.0,-8560.0,283.0,,,16280.0,200.0,,,15,0.75,0,-5,1,,17771.0,-5,17.771
85,Zn,30,4953.0,583.0,,,-11435.0,860.0,28023.0,500.0,,,10923.0,501.0,55,1.8333333333333333,2,5,0,,1341.0,25,1.341
211,Bi,83,9743.1634,5.4546,12792.2656,8.0377,6750.4042,0.4611,-211.9249,5.9445,-9901.0916,12.7533,-3977.3744,5.4063,128,1.5421686746987953,1,2,0,,5138.5294,45,5.1385294
136,Sb,51,6630.5217,6.5903,27115.0,200.0,-4520.2518,60.3149,15038.3351,15.339,-24686.0,300.0,5150.5827,6.0786,85,1.6666666666666667,1,3,0,,2887.8754,34,2.8878754
6,Be,4,,,-1372.1758,5.4478,,,,,-145.1712,20.7287,,,2,0.5,2,0,1,,26835.0,-2,26.835
22,Al,13,,,3227.0,401.0,-9262.0,411.0,,,13097.0,401.0,,,9,0.6923076923076923,5,1,0,,16960.0,-4,16.96
143,Gd,64,21149.7162,201.2738,6875.2935,200.4832,1724.0023,200.597,-16062.3618,200.7256,3461.6476,200.3102,-19743.1068,728.6299,79,1.234375,14,-3,0,,9343.1068,15,9.3431068
146,Cs,55,8181.6545,20.3388,24558.0,400.0,-2932.3269,5.7223,13910.7934,3.3431,-21469.0,500.0,4134.4846,8.9568,91,1.6545454545454545,5,9,0,,3327.2745,36,3.3272745
211,Fr,87,16500.8064,16.5846,5834.4836,12.8933,6662.2514,3.1839,-11283.7995,55.0739,542.8137,14.2427,-12654.4711,15.1062,124,1.4252873563218391,5,-2,0,,8868.1244,37,8.868124400000001
142,Ba,56,10716.988,9.8717,19433.7377,6.3618,-294.9286,6.5507,6690.6387,6.3551,-16933.9193,6.587,-2983.7314,7.2112,86,1.5357142857142858,6,4,0,,6181.083,30,6.181082999999999
149,Ce,58,10798.6549,13.3645,20983.8271,22.2477,-1578.6535,13.2982,7705.6143,10.4503,-16413.9804,10.3543,-2205.7862,18.1998,91,1.5689655172413792,8,9,0,,4342.8144,33,4.3428144
164,Ho,67,15082.5907,3.2127,13678.9116,2.4765,431.0405,1.676,-3071.5743,25.0423,-7673.7347,4.2284,-7884.4225,4.776,97,1.4477611940298507,-15,15,0,,6673.8085,30,6.6738085
55,Zn,30,,,-783.0,400.0,-5044.0,640.0,,,17720.0,400.0,,,25,0.8333333333333334,2,-3,0,,16639.0,-5,16.639
114,Ru,44,10732.9761,10.237,27319.0,200.0,-8110.3143,24.4788,13269.1335,7.7067,-24860.0,300.0,474.4127,7.8737,70,1.5909090909090908,-6,-12,0,,6424.7149,26,6.4247149
151,Dy,66,17201.034,9.559,8203.1571,4.2763,4179.6239,2.6426,-10486.0979,16.7868,-277.3082,6.6983,-14877.8144,14.498,85,1.2878787878787878,16,3,0,,7514.088,19,7.514088
292,Mc,115,12335.0,916.0,6293.0,842.0,10205.0,989.0,-7021.0,968.0,,,-8715.0,937.0,177,1.5391304347826087,-11,51,0,,5651.0,62,5.651
241,Cf,98,15018.0,206.0,6398.0,225.0,7655.0,150.0,-9894.0,344.0,314.0,167.0,-12970.0,402.0,143,1.4591836734693877,16,17,0,,6733.0,45,6.733
273,Hs,108,12066.0,464.0,7428.0,699.0,9649.9999,64.0312,-6518.0,400.0,-2042.0,787.0,-9786.0,613.0,165,1.5277777777777777,-18,39,0,,5309.0,57,5.309
280,Mt,109,11400.0,834.0,8438.0,721.0,9135.0,848.0,-3376.0,802.0,,,-6585.0,852.0,171,1.5688073394495412,-17,45,0,,5147.0,62,5.147
91,Sr,38,13585.5592,5.4536,21694.0972,5.8586,-5367.3346,5.4584,4243.6424,5.4523,-15981.6612,5.7623,-5226.3554,5.4643,53,1.394736842105263,10,3,0,,5772.3228,15,5.7723227999999995
167,W,74,19374.5321,31.8302,5035.6416,33.6262,4751.1923,29.8826,-15594.3518,83.0262,4476.8059,33.6262,-18327.195,90.2019,93,1.2567567567567568,-8,11,0,,8277.0592,19,8.2770592
113,Mo,42,8853.0,300.0,30748.0,671.0,-9345.0,583.0,19218.0,302.0,-27519.0,761.0,4538.0,300.0,71,1.6904761904761905,-8,-11,0,,3242.0,29,3.242
69,Kr,36,32731.0,520.0,138.0,307.0,-1546.0,424.0,,,14760.0,300.0,,,33,0.9166666666666666,8,5,0,,14585.0,-3,14.585
129,Sm,62,,,998.0,583.0,3315.0,640.0,,,10911.0,539.0,,,67,1.0806451612903225,12,-15,0,,11251.0,5,11.251
46,Cr,24,32192.3081,52.4967,6500.9265,11.4744,-6792.1331,11.4561,-30682.0,300.0,2249.7246,11.4834,-32563.0,300.0,22,0.9166666666666666,4,2,0,,18028.0871,-2,18.0280871
25,Al,13,31806.6812,0.3507,13964.0625,0.0648,-9156.0324,0.0774,-29106.0,400.0,-7787.0443,0.0669,-27732.4776,19.4722,12,0.9230769230769231,5,4,0,,16938.4799,-1,16.938479899999997
142,Nd,60,17835.4451,3.4938,12453.7705,1.4524,-809.1047,1.3515,-6968.1259,1.4168,-7807.9688,1.4526,-13498.4416,14.0287,82,1.3666666666666667,10,0,1,,9829.8537,22,9.8298537
188,Hf,72,10548.0,304.0,,,-654.0,586.0,7838.0,300.0,,,-2005.0,305.0,116,1.6111111111111112,-10,-10,0,,5901.0,44,5.901
102,Sr,38,8484.4428,67.4234,32267.0,405.0,-10464.0,307.0,19422.1157,67.6369,-30868.0,505.0,4824.1573,67.4403,64,1.6842105263157894,10,14,0,,4905.7149,26,4.9057148999999995
195,At,85,19545.612,23.6552,2163.6778,12.2076,7344.1362,6.0089,,,5263.7497,10.9188,-17266.2409,19.2136,110,1.2941176470588236,3,-16,0,,10825.1275,25,10.8251275
47,Cl,17,7461.0,242.0,40119.0,539.0,-17046.0,361.0,26132.0,200.0,-39710.0,539.0,12120.0,200.0,30,1.7647058823529411,-3,2,0,,3917.0,13,3.917
164,Tm,69,16574.0968,36.1126,10446.3224,25.1954,2048.5664,29.1645,-7266.5674,37.4997,-2819.8872,25.0112,-10686.3828,29.2126,95,1.3768115942028984,-13,13,0,,7251.8483,26,7.2518483
158,Nd,60,9775.6296,1.8443,23593.0,300.0,-4040.0,200.0,11416.7257,4.9565,-21194.0,400.0,390.6746,7.1265,98,1.6333333333333333,10,16,0,,5412.3248,38,5.4123248
10,Be,4,8476.8212,0.0883,33580.1385,0.1199,-7409.5245,0.0966,-3091.1864,0.1072,-35617.3109,46.8165,-7880.3173,0.9009,6,1.5,2,-2,0,,6812.2824,2,6.8122824
217,Th,90,14858.2895,12.3605,4904.1568,12.8212,9435.3069,4.0315,-10765.0,81.0,1625.3428,13.2892,-13689.3365,26.835,127,1.4111111111111112,8,1,0,,6164.0749,37,6.164074899999999
