param,importance
gamma,0.8617310631075236
learning_rate,0.06826597694966972
subsample,0.029371451916581356
reg_alpha,0.01194278136227418
max_depth,0.009394221029573418
n_estimators,0.007568512269774902
reg_lambda,0.004663353228253644
colsample_bytree,0.0037625129552700484
min_child_weight,0.00330012718107917
