1,A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess
,11,B,5,19891.4138,0.9027,30865.139,0.1867,-8664.3124,0.0128,-15697.9358,5.0005,-31673.8905,12.7213,-15102.2829,0.0714,6,1.2,3,-2,-6,,11454.2206,1
,11,C,6,34404.2103,2.1375,15276.996,0.097,-7544.5165,0.0926,-37089.5162,60.0381,-9247.0606,0.1005,-36221.9485,400,5,0.833333333,-2,3,-6,,13120.594,-1
,11,N,7,*,,2628.784,5.0813,-5735.8247,25.6426,*,,5026.0622,5.0005,*,,4,0.571428571,-1,2,-2,,22505.7016,-3
,11,O,8,*,,-4249.9999,60,*,,*,,24751.2693,60.0381,*,,3,0.375,0,1,0,,*,-5
0,12,Li,3,185.6871,32.5916,*,,*,,35640.1788,30.0354,*,,20761.0898,30.0072,9,3,1,1,0.5,,-210,6
,12,Be,4,3672.3612,1.9096,38697.3273,92.8673,-8956.8373,1.9106,25077.7615,1.9086,*,,8338.7353,1.9086,8,2,2,0,0,+,3170.7254,4
,12,B,5,14823.8489,1.3215,34261.1718,12.7898,-10001.3225,1.3223,-3968.6702,1.6571,-34647.8317,1.4574,-5351.3172,1.3228,7,1.4,3,-1,-1.5,,3369.6283,2
,12,C,6,31841.3091,0.0703,27185.4287,0.0809,-7366.5875,0.0354,-32013.3349,12.0002,-27466.1399,0.2377,-32436.962,5.0005,6,1,-2,-2,-1,+,18720.7151,0
,12,N,7,37604.5955,400.0012,9290.4847,1,-8008.4167,1.414,*,,1381.3889,1,-38472.1632,60.0464,5,0.714285714,-1,3,-1.5,,15098.8939,-2
,12,O,8,*,,-1736.7199,12,-5475.8501,21.836,*,,14074.9668,12.0004,*,,4,0.5,0,2,0,+,23796.8964,-4
0,13,Li,3,-110.0001,70,*,,*,,40418.9467,70.0098,*,,23831.8153,70.0287,10,3.333333333,1,2,0.666666667,,100,7
,13,Be,4,2660.7254,10.1833,*,,-9701.6627,47.9106,30534.0702,10.1805,*,,12218.3636,10.2659,9,2.25,2,1,0.666666667,,-510,5
,13,B,5,8248.3962,1,38744.2527,1.1739,-10817.8729,1.0173,11216.4669,1.0358,-39736.5997,30.023,8490.63,1.0001,8,1.6,3,0,0,,4878.7679,3
,13,C,6,23667.0238,0.0596,31630.1016,0.2377,-10648.3575,0.0765,-19990.4224,9.5263,-29241.7232,1.9086,-22284.3768,0.9999,7,1.166666667,-2,-1,-0.666666667,,4946.3087,1
,13,N,7,35162.799,5.0078,17900.1692,0.2698,-9495.9206,0.942,-36684#,500#,-15312.8879,1.3486,-34739.1719,12.0032,6,0.857142857,-1,-2,-0.666666667,,20063.9051,-1
,13,O,8,40766.1177,60.7891,2111.9075,9.5265,-8220.4554,9.763,*,,15826.4606,9.5263,*,,5,0.625,0,3,0,,16969.2213,-3
,13,F,9,*,,-3086#,500#,*,,*,,17403#,500#,*,,4,0.444444444,1,2,0.666666667,,*,-5
0,14,Be,4,1265.8951,132.2589,*,,-11667.5601,161.5842,36934.6092,132.2451,*,,15321.2364,132.2489,10,2.5,2,2,1,+,1775.8951,6
,14,B,5,5848.3482,21.2544,39923.8329,36.7476,-11813.8576,24.7353,20800.2691,21.2133,-40606.18,73.1463,12467.3585,21.2133,9,1.8,3,1,0.75,,969.5802,4
,14,C,6,13122.7428,0.0039,36635.8103,1.9086,-12012.5091,0.081,-4987.8879,0.0254,-37928.1573,10.1805,-10396.9059,0.2696,8,1.333333333,-2,0,0,+,8176.4341,2
,14,N,7,30617.2874,0.9999,25083.9232,1.3214,-11612.1097,0.0149,-29100.9859,41.1187,-20987.5023,1.0001,-28323.3329,9.5263,7,1,-1,-1,-0.5,,10553.3823,0
,14,O,8,40148.1899,12.0002,6570.161,0.0252,-10115.8076,0.0747,*,,-2406.1992,0.0252,-42093#,500#,6,0.75,0,-2,0,+,23178.9686,-2
,14,F,9,*,,-48.3925,41.1309,-9260.5406,402.1079,*,,19329.9505,41.1196,*,,5,0.555555556,1,3,0.75,,18137#,-4
0,15,Be,4,-24.1049,166.1096,*,,*,,39952.6754,165.7993,*,,18090.8166,167.1489,11,2.75,2,3,1.2,,-1800,7
,15,B,5,3747.2047,21.0527,42601.4574,73.0931,-14195.795,21.0379,28855.9414,21.029,*,,17866.1681,21.029,10,2,3,2,1.2,,2777.6245,5
,15,C,6,9394.5003,0.8,38363.8765,10.2119,-12728.9395,0.8346,7017.523,0.9382,-37370.3284,132.2475,-1061.5897,0.8,9,1.5,-2,1,2,,1218.0662,3
,15,N,7,21386.6791,0.2695,31038.4521,1.0001,-10991.1859,0.0121,-16465.3141,14,-30851.2189,21.2133,-15977.6611,0.0252,8,1.142857143,-1,0,0,,10833.2968,1
,15,O,8,36402.4456,9.5389,14847.3293,0.4902,-10218.6907,0.4938,-37359.7515,66.6858,-7453.2421,0.4902,-37180.0986,41.1217,7,0.875,0,-1,0,,13223.477,-1
,15,F,9,41606#,500#,3356.6711,14.0026,-10223.8076,14.8663,*,,6414.3643,14,*,,6,0.666666667,1,-2,2,,23468.9686,-3
,15,Ne,10,*,,-2521.9999,66,-9948.4554,89.7291,*,,24918.6215,66.684,*,,5,0.5,2,3,1.2,,*,-5
0,16,Be,4,-1350.0001,100,*,,*,,43753.0055,165.836,*,,20418.4411,167.1256,12,3,2,4,1.333333333,+,450,8
,16,B,5,2694.6232,32.4578,*,,-14322.7938,38.7799,31427.7916,24.6739,*,,19167.2355,24.5793,11,2.2,3,3,1.5,,-83.0012,6
,16,C,6,5468.3962,3.5777,40838.3114,132.2935,-13808.5442,4.0549,18431.1354,3.5777,-43420.6585,165.836,5521.377,3.5777,10,1.666666667,-2,2,,+,4250.3301,4
,16,N,7,13322.1458,2.3014,32557.7208,21.3378,-10110.4066,2.6538,-4991.2746,5.837,-30562.4434,21.1545,-5243.0331,2.353,9,1.285714286,-1,1,,,2488.849,2
,16,O,8,28887.4195,0.0252,22334.8376,0.0038,-7161.918,0.0003,-28723.7772,20.48,-21899.1184,0.8,-29375.0724,14,8,1,0,0,,+,15663.9424,0
,16,F,9,37431.857,41.4672,6766.1772,5.3642,-9087.8022,5.4566,*,,3284.7726,5.3642,-37611.51,66.8994,7,0.777777778,1,-1,,,13962.8884,-2
,16,Ne,10,*,,-1401.0517,20.48,-10451.4758,23.7368,*,,13842.1818,20.4859,*,,6,0.6,2,-2,,+,24299.9167,-4
0,17,B,5,1383.6939,205.1841,*,,-15689.4889,215.7746,35846.243,204.6541,*,,21950.8705,204.135,12,2.4,3,4,1.714285714,,1466.6951,7
,17,C,6,4983.9018,17.3833,43371.8832,166.7042,-15052.1159,20.1291,21840.6437,17.3649,-43704.2302,166.7042,7276.6542,17.5167,11,1.833333333,-2,3,-6,,733.5717,5
,17,N,7,8373.9955,15,35665.2429,25.8305,-11116.7852,15.0333,5918.3775,15.002,-36530.5911,28.7837,4535.7629,15,10,1.428571429,-1,2,-2,,5885.1465,3
,17,O,8,19807.0225,0.4902,25259.8515,0.8,-6358.6894,0.0007,-17309.2162,0.3542,-21791.8685,3.5777,-19555.2641,5.3642,9,1.125,0,1,0,,4143.0801,1
,17,F,9,30757.687,14.0022,12727.6789,0.2479,-5818.6957,0.3662,-32767.8784,59.6161,-11021.177,2.3147,-30106.3918,20.4815,8,0.888888889,1,0,0,,16794.7986,-1
,17,Ne,10,39857.5578,66.6849,933.1123,0.6048,-9039.8956,9.5329,*,,13948.4831,0.3542,*,,7,0.7,2,-1,-2,,15557.6411,-3
,17,Na,11,*,,-3574.8854,61.2374,-9735#,504#,*,,16755.4268,59.8565,*,,6,0.545454545,3,-2,-6,,*,-5
0,18,B,5,1461.6951,205.6376,*,,*,,38679.4724,205.0076,*,,22689.4423,204.902,13,2.6,3,5,1.875,,-5,8
,18,C,6,4917.5036,30.2126,47105.8151,168.4897,-17460.1527,135.6052,25702.082,30,*,,8977.8688,33.541,12,2,-2,4,-4,+,4183.9319,6
,18,N,7,8713.3759,18.7116,38576.4735,30.795,-12975.4343,28.1928,12240.055,18.5753,-37892.1253,204.9466,5850.6136,18.5695,11,1.571428571,-1,3,-1.5,,2828.2294,4
,18,O,8,12188.4503,0.0011,29054.8916,3.5777,-6227.6255,0.0038,-6100.4337,0.3634,-29103.6669,17.3649,-10805.8357,0.2479,10,1.25,0,2,0,+,8045.3702,2
,18,F,9,25944.7054,5.3842,19388.7368,2.3475,-4415.2202,0.4633,-24164.8794,93.8824,-14285.9373,15.0072,-23698.6576,0.5832,9,1,1,1,0.5,,9149.9069,0
,18,Ne,10,34811.7938,20.4832,4523.3226,0.3634,-5115.0797,0.3643,*,,-1162.5895,0.3634,-37473.2804,59.6167,8,0.8,2,0,0,+,19254.1527,-2
,18,Na,11,*,,215.1321,94.0343,-9351.3267,102.4911,*,,15797.3195,93.8816,*,,7,0.636363636,3,-1,-1.5,,17752.9059,-4
0,19,B,5,88.7073,563.6171,*,,*,,43913.9955,525.6187,*,,26779.6669,526.2185,14,2.8,3,6,2,,93.7073,9
,19,C,6,4760.7611,99.9101,*,,-19836.982,192.7933,29080.8967,98.4248,*,,11229.269,100.1265,13,2.166666667,-2,5,-3.333333333,,576.8292,7
,19,N,7,8156.4598,22.228,42438.0088,204.7618,-15526.0403,26.6702,17343.7002,16.4037,-43225.3559,204.8228,8567.7533,16.4037,12,1.714285714,-1,4,-1.333333333,,5328.2305,5
