1,A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess
,48,V,23,23544.7442,0.9673,17294.3039,1.1768,-9086.8859,2.0066,-15181.361,6.7687,-7430.1336,2.1592,-17986.2303,5.2865,25,1.086956522,3,-3,,,10542.2534,2
,48,Cr,24,29492.3788,13.5876,13270.9861,7.3109,-7697.6429,7.3446,-24812.7377,92.5073,-5172.6724,7.3108,-28326.2551,32.5037,24,1,4,4,2,+,16329.5384,0
,48,Mn,25,33021.5322,86.8876,6798.6892,6.6999,-7913.4808,9.8818,-31026#,500#,5421.4546,6.6995,-30238#,500#,23,0.92,-3,3,,,14801.5859,-2
,48,Fe,26,35361#,314#,3114.9471,92.9264,-7011.5928,105.4935,-36187#,434#,9265.5462,92.3642,-36700#,607#,22,0.846153846,-2,2,,+,18950#,-4
,48,Co,27,*,,430#,508#,-8155#,583#,*,,17007#,501#,*,,21,0.777777778,-1,1,,,16961#,-6
,48,Ni,28,*,,-2390#,300#,*,,*,,18019#,656#,*,,20,0.714285714,0,0,,+,*,-8
0,49,S,16,2952#,707#,*,,-19124#,837#,37451#,707#,*,,16600#,768#,33,2.0625,-4,5,-20,,70#,17
,49,Cl,17,5823#,447#,42649#,721#,-17646#,640#,30351#,400#,*,,15023#,400#,32,1.882352941,-3,4,-12,,3051#,15
,49,Ar,18,7836#,400#,38839#,565#,-16145#,500#,24240#,400#,-36739#,640#,7153#,400#,31,1.722222222,-2,3,-6,,2777#,13
,49,K,19,10042.1501,1.6106,34609#,200#,-13773.8671,136.1657,16950.9514,2.405,-32620#,500#,6542.0539,0.8013,30,1.578947368,-1,2,-2,,5398.3318,11
,49,Ca,20,15097.9733,2.2277,30510.6708,1.2239,-13954.1172,0.5422,7264.0096,0.1927,-26234.0467,16.7678,-4867.2375,4.953,29,1.45,0,1,0,,5146.4529,9
,49,Sc,21,18368.2408,2.9779,25428.4075,2.6636,-12371.7195,2.3269,1399.7096,2.4122,-21566.9361,2.3958,-6140.8135,2.2683,28,1.333333333,1,0,0,,10129.6819,7
,49,Ti,22,19769.0365,0.0396,20797.2889,2.2196,-10176.6978,0.3732,-3231.6603,2.2008,-11628.1156,0.0771,-12157.3253,0.9694,27,1.227272727,2,-1,-2,,8142.3786,5
,49,V,23,22097.7232,0.8249,18203.2564,2.0967,-9314.7513,1.0534,-10342.2312,2.3602,-10747.0446,5.0175,-13212.1616,7.3566,26,1.130434783,3,-2,-6,,11555.4698,3
,49,Cr,24,26911.8953,5.6437,14972.6823,2.2009,-8747.0017,2.3532,-20581.6222,24.3187,-4128.3714,2.2007,-24107.0261,7.0512,25,1.041666667,4,-3,-12,,10582.3569,1
,49,Mn,25,31196.1855,31.7481,10190.798,2.2145,-8158.3999,2.3744,-27840#,500#,-430.8916,2.4158,-27682.668,92.2445,24,0.96,-3,4,-12,,16394.5996,-1
,49,Fe,26,33764#,501#,4765.5791,24.7701,-7660.8442,42.8892,-33280#,600#,10781.6123,25.2983,-34552#,501#,23,0.884615385,-2,3,-6,,14813.4724,-3
,49,Co,27,36542#,781#,1791#,501#,-7225#,583#,*,,12228#,500#,-36029#,656#,22,0.814814815,-1,2,-2,,19581#,-5
,49,Ni,28,*,,-1081#,781#,-8303#,663#,*,,19249#,607#,*,,21,0.75,0,1,0,,17720#,-7
0,50,Cl,17,4163#,640#,*,,-17565#,640#,33428#,400#,*,,16689#,565#,33,1.941176471,-3,5,-7.5,,1111#,16
,50,Ar,18,7018#,500#,40198#,707#,-16295#,640#,26359#,500#,-40910#,768#,8310#,500#,32,1.777777778,-2,4,-4,+,4241#,14
,50,K,19,9586.0068,7.77,36026#,500#,-14417.8198,97.5556,18809.2677,8.1303,-33756#,400#,7500.8319,7.7334,31,1.631578947,-1,3,-1.5,,4187.675,12
,50,Ca,20,11506.9985,1.5836,31812.2453,16.8415,-12242.8911,2.8161,11842.6373,1.5857,-29818#,400#,-1098.1011,2.7658,30,1.5,0,2,0,+,6360.5456,10
,50,Sc,21,16175.6733,5.5523,26830.5805,2.6314,-11548.1068,2.6181,4686.1196,2.517,-22214.5957,2.6398,-4044.4262,2.5165,29,1.380952381,1,1,0.5,,6045.9914,8
,50,Ti,22,19081.5518,0.0316,21784.9418,0.0809,-10717.1735,2.2328,-1170.5034,0.0608,-17420.8358,0.1943,-11541.0287,0.8209,28,1.272727273,2,0,0,+,10939.1732,6
,50,V,23,20887.8711,0.9705,19297.0989,4.9502,-9886.5127,0.6706,-6596.3536,0.0869,-9949.764,2.269,-11962.2061,2.2007,27,1.173913043,3,-1,-1.5,,9332.4013,4
,50,Cr,24,23582.6869,7.3105,16346.3544,0.054,-8558.0106,0.0779,-15784.9043,8.384,-8986.3228,0.0583,-20712.7566,2.2123,26,1.083333333,4,-2,-4,+,13000.3301,2
,50,Mn,25,29472.8786,6.6995,12726.8236,0.9729,-7975.9054,0.1427,-25037.4833,125.7518,-1953.7008,0.8251,-25947.4747,24.2191,25,1,-3,-3,-1.5,,13078.279,0
,50,Fe,26,32610.5204,92.5982,6233.0887,11.1236,-7429.8051,14.1934,-31017#,500#,3566.9212,8.6678,-32768#,500#,24,0.923076923,-2,4,-4,+,17797.048,-2
,50,Co,27,35462#,516#,2870.7013,125.93,-7596.5711,152.7025,*,,12741.5513,125.7712,-34190#,613#,23,0.851851852,-1,3,-1.5,,15881#,-4
,50,Ni,28,37780#,656#,29#,509#,-7094#,583#,*,,14002#,501#,*,,22,0.785714286,0,2,0,+,20061#,-6
0,51,Cl,17,2592#,806#,*,,-16945#,922#,36806#,700#,*,,19449#,860#,34,2,-3,6,-6,,1481#,17
,51,Ar,18,5572#,565#,41459#,707#,-16115#,565#,29843#,400#,*,,11167#,400#,33,1.833333333,-2,5,-3.333333333,,1331#,15
,51,K,19,9046.5971,13.0659,37833#,400#,-15360#,201#,20734.8961,13.2816,-37504#,400#,9002.4553,13.1371,32,1.684210526,-1,4,-1.333333333,,4858.9221,13
,51,Ca,20,11174.9431,0.551,33850#,400#,-13389.9515,1.3185,13400.6554,0.7116,-30391#,500#,133.4927,2.5688,31,1.55,0,3,0,,4814.3976,11
,51,Sc,21,12830.5419,3.3864,28216.7992,2.6395,-9963.287,2.8771,8952.7524,2.5169,-24811.4712,8.1302,110.1965,2.5164,30,1.428571429,1,2,0.666666667,,6784.5505,9
,51,Ti,22,17311.5889,0.4785,23010.9045,0.515,-9813.2154,2.2705,1717.7495,0.5013,-17432.706,1.6558,-8581.0431,0.481,29,1.318181818,2,1,0.666666667,,6372.4157,7
,51,V,23,20383.5847,0.8228,20218.6003,2.2691,-10291.1787,1.9303,-3959.88,0.2985,-14954.9559,2.5172,-10013.0593,0.0711,28,1.217391304,3,0,0,,11051.1834,5
,51,Cr,24,22260.9987,2.205,17464.6444,0.1517,-8938.0185,0.1534,-11261.5292,1.4081,-7307.8182,0.1527,-16895.1462,0.1623,27,1.125,4,-1,-1.333333333,,9260.6686,3
,51,Mn,25,26765.9359,2.2313,14859.0107,0.8719,-8661.0715,0.3064,-20901.0789,48.4386,-6308.9564,0.2953,-21838.0836,8.389,26,1.04,-3,-2,-1.2,,13687.6569,1
,51,Fe,26,31581.0916,24.2592,9434.7754,2.6084,-8051.0084,5.3814,-28539#,500#,2783.2076,1.4013,-30671.1002,125.7595,25,0.961538462,-2,-3,-1.2,,13784.0436,-1
,51,Co,27,33705#,503#,4300.163,48.4883,-7200.6861,57.8727,*,,7995.769,48.4378,-31954#,503#,24,0.888888889,-1,4,-1.333333333,,17824.0613,-3
,51,Ni,28,36323#,781#,1477#,501#,-6945#,707#,*,,15537#,500#,*,,23,0.821428571,0,3,0,,16262#,-5
0,52,Cl,17,1483#,806#,*,,*,,39497#,700#,*,,20778#,806#,35,2.058823529,-3,7,-5.25,,2#,18
,52,Ar,18,4292#,781#,*,,-16194#,781#,32887#,600#,*,,13065#,600#,34,1.888888889,-2,6,-3,+,2961#,16
,52,K,19,7552.412,34.4135,39415#,401#,-15282#,501#,23385.9319,33.6744,-38717#,700#,11123.3631,33.5378,33,1.736842105,-1,5,-1.25,,2693.4898,14
,52,Ca,20,10819.6776,1.7197,35614#,500#,-14336.2605,16.7803,15211.4261,2.8274,-35066#,400#,912.7632,2.6029,32,1.6,0,4,0,+,6005.28,12
,52,Sc,21,12129.0762,3.9719,29373.6499,8.3201,-10663.9943,3.1697,10919.4712,3.078,-25297.0748,13.3987,1138.0865,3.1118,31,1.476190476,1,3,0.75,,5344.5257,10
,52,Ti,22,14188.4664,2.7476,24466.4097,3.1705,-7677.7458,2.7468,5941.8103,2.7487,-20434.3591,2.7958,-5345.9104,2.7481,30,1.363636364,2,2,1,+,7816.0507,8
,52,V,23,18362.4278,0.1397,21483.8534,2.5203,-9363.8644,4.9519,-731.6452,0.1721,-15481.6499,2.52,-8063.6352,0.1953,29,1.260869565,3,1,0.75,,7311.2445,6
,52,Cr,24,21300.7801,0.0958,18565.5827,0.0852,-9351.4721,0.0793,-7087.4126,0.1397,-12975.514,0.4851,-15247.6007,0.305,28,1.166666667,4,0,0,+,12040.1115,4
,52,Mn,25,24227.1362,0.133,16066.0887,0.1143,-8658.2974,0.9744,-16367.4079,5.2817,-5797.2523,0.1175,-18593.5193,1.4041,27,1.08,-3,-1,-0.75,,10539.4793,2
,52,Fe,26,29998.2718,8.3854,12648.6735,0.1694,-7935.6981,7.3125,-25772.2397,82.9032,-4170.3519,0.2198,-29061.267,48.438,26,1,-2,-2,-1,+,16214.2281,0
,52,Co,27,32897.2116,125.8626,6295.0343,5.2821,-7472.2505,8.5303,-32464#,600#,6610.2756,5.2896,-30765#,500#,25,0.925925926,-1,-3,-0.75,,15073.1503,-2
,52,Ni,28,35243#,507#,2661.3381,83.3258,-6976.1961,124.0042,*,,10340.3585,82.9148,*,,24,0.857142857,0,4,0,+,18981#,-4
,52,Cu,29,*,,-1132#,613#,-6034#,781#,*,,18173#,602#,*,,23,0.793103448,1,3,0.75,,*,-6
0,53,Ar,18,2862#,805#,*,,-16025#,910#,36178#,700#,*,,15857#,699#,35,1.944444444,-2,7,-2.8,,-99#,17
,53,K,19,5922.9015,112.5375,41164#,708#,-15460#,415#,26473.8324,113.1718,-41944#,708#,13899.2313,111.7813,34,1.789473684,-1,6,-1.2,,3229.4117,15
,53,Ca,20,9198.0339,43.7833,37476#,402#,-14752#,402#,17493.7256,43.8754,-35297#,601#,3064.5349,43.888,33,1.65,0,5,0,,3192.7539,13
,53,Sc,21,11661.8378,17.8763,30832.0399,21.9843,-11582.9747,17.7166,13082.1204,17.9684,-28920.8971,37.9177,2636.825,17.9103,32,1.523809524,1,4,0.8,,6317.3122,11
,53,Ti,22,13291.1042,2.9279,25127.0656,2.9344,-8006.3463,2.8931,8406.1845,2.89,-19904.1326,2.9645,-3509.7194,2.892,31,1.409090909,2,3,1.2,,5475.0535,9
,53,V,23,15791.2058,3.1024,23179.2643,3.9941,-7714.1438,3.8428,2838.6747,3.1197,-18617.0856,4.3677,-4503.4851,3.1024,30,1.304347826,3,2,1.2,,8479.9613,7
,53,Cr,24,19979.5392,0.172,20132.5947,0.4859,-9148.5212,0.0871,-4340.1343,1.6703,-13098.891,2.7489,-12647.5491,0.1155,29,1.208333333,4,1,0.8,,7939.4277,5
,53,Mn,25,22589.7606,0.447,17065.1866,0.3434,-9153.1088,0.8876,-12030.9738,1.754,-10536.2891,0.3657,-14429.5724,0.3598,28,1.12,-3,0,0,,12050.2812,3
,53,Fe,26,26900.9341,2.1776,14074.7109,1.6756,-8040.0472,2.7619,-21316.6559,25.2057,-2816.9464,1.6705,-24674.8227,5.5386,27,1.038461538,-2,-1,-0.666666667,,10686.706,1
,53,Co,27,31459.8657,48.4685,8994.0928,1.7471,-7464.3663,2.8069,-29520#,500#,763.0395,1.7294,-28170.8383,82.921,26,0.962962963,-1,-2,-0.666666667,,16386.7154,-1
,53,Ni,28,34123#,501#,4019.5842,25.1892,-7305.0135,34.9155,*,,11412.2969,25.151,-35822#,600#,25,0.892857143,0,-3,0,,15142.2898,-3
,53,Cu,29,*,,375#,503#,-5785#,707#,*,,13915#,500#,*,,24,0.827586207,1,4,0.8,,19331#,-5
0,54,Ar,18,2203#,1000#,*,,*,,37721#,802#,*,,16785#,808#,36,2,-2,8,-2.666666667,+,2302#,18
,54,K,19,4155#,401#,42088#,806#,-15275#,565#,29288#,400#,*,,16166#,402#,35,1.842105263,-1,7,-1.166666667,,926#,16
,54,Ca,20,7036.9518,48.4423,38359#,602#,-14355#,503#,20583.2252,50.9605,-39240#,700#,5537.6493,51.5698,34,1.7,0,6,0,+,3844.1978,14
,54,Sc,21,10057.0092,14.3072,31878.2471,36.3285,-11134.9967,15.9694,15460.3337,17.8944,-29431.1824,112.6493,4372.1815,14.2683,33,1.571428571,1,5,0.833333333,,3739.697,12
,54,Ti,22,12408.7509,16.0719,26055.483,15.8496,-8579.4981,15.9144,11191.5667,15.836,-23645.076,46.5561,-1963.4555,16.1365,32,1.454545455,2,4,1.333333333,+,6933.6974,10
,54,V,23,14597.8717,11.1803,23952.6489,11.5944,-7786.0627,11.459,5659.9793,11.2242,-18417.6838,20.9336,-2681.9677,11.1796,31,1.347826087,3,3,1.5,,6117.9103,8
,54,Cr,24,17658.5072,0.1231,22035.6236,2.7496,-7928.4276,0.1104,-680.7637,0.3461,-17342.9171,2.8907,-10316.3474,0.3498,30,1.25,4,2,1.333333333,+,9719.0796,6
,54,Mn,25,20989.4962,1.0067,18693.157,1.0131,-8759.9225,1.0049,-7548.179,1.0625,-10995.5427,3.2589,-12682.0813,1.9467,29,1.16,-3,1,1.5,,8939.2149,4
,54,Fe,26,24065.1561,0.3756,15413.0495,0.3487,-8418.1672,0.3452,-16976.3035,4.6701,-8255.9689,0.3477,-21666.5575,1.6927,28,1.076923077,-2,0,0,+,13378.4501,2
,54,Co,27,29808.7251,5.2929,11876.6232,0.3654,-7808.097,0.3596,-26770#,400#,-608.689,0.4681,-26450.5582,25.1528,27,1,-1,-1,-0.5,,13422.0097,0
,54,Ni,28,32861.0923,83.0337,5524.1586,4.6609,-7226.768,9.5903,-33576#,217#,4380.2004,4.9476,-34210#,500#,26,0.928571429,0,-2,0,+,17718.8025,-2
,54,Cu,29,35503#,721#,1474#,400#,-6075#,419#,*,,14130#,400#,*,,25,0.862068966,1,-3,1.5,,16172#,-4
,54,Zn,30,*,,-2280#,200#,-4667#,545#,*,,16640#,218#,*,,24,0.8,2,4,1.333333333,+,*,-6
0,55,K,19,3377#,513#,*,,-16245#,860#,31313#,504#,*,,17560#,503#,36,1.894736842,-1,8,-1.142857143,,2451#,17
,55,Ca,20,5405.3036,166.0909,40019#,717#,-14586#,431#,23182.0937,162.7984,-38500#,816#,7716.2405,160.8251,35,1.75,0,7,0,,1561.1058,15
,55,Sc,21,8215.1894,64.8715,33124.3278,128.0222,-10751.567,63.7584,18283.0281,68.0058,-32981#,404#,6830.3865,64.3881,34,1.619047619,1,6,0.857142857,,4475.4924,13
,55,Ti,22,11093.6717,29.0203,27022.7033,52.4457,-7925.0749,28.881,13277.855,28.8772,-23960.8525,56.3919,-5.5195,30.9649,33,1.5,2,5,1.428571429,,4159.9743,11
,55,V,23,13416.0971,27.1909,24933.5236,32.2948,-8299.699,27.1302,8587.406,27.0146,-21976.1735,30.4132,-261.075,27.0137,32,1.391304348,3,4,1.714285714,,7298.1868,9
,55,Cr,24,15965.3422,0.2118,22806.8328,2.8966,-7802.2745,0.5242,2371.0979,0.3619,-16655.4824,15.837,-7623.3952,1.0222,31,1.291666667,4,3,1.714285714,,6246.2627,7
,55,Mn,25,19164.8284,0.4009,20438.8092,3.1111,-7934.3526,0.265,-3682.5458,0.3349,-15103.2458,11.1821,-9529.2447,0.2461,30,1.2,-3,2,6,,10225.6135,5
,55,Fe,26,22676.5745,1.6447,16771.7462,0.3126,-8455.623,0.3403,-12145.4604,0.6622,-7835.0136,0.3105,-17542.6721,0.2098,29,1.115384615,-2,1,2,,9298.1243,3
,55,Co,27,27513.2564,1.7188,13917.5886,0.506,-8211.6868,0.4861,-22394.5935,155.56,-5760.7207,1.0804,-22823.0025,4.675,28,1.037037037,-1,0,0,,14091.2467,1
,55,Ni,28,31847.7699,25.1602,8966.4201,1.7582,-7571.6918,1.566,-31066#,400#,3629.6831,0.6499,-32167#,400#,27,0.964285714,0,-1,0,,14128.9675,-1
,55,Cu,29,34638#,524#,3553.9689,155.5691,-6718.1722,162.9263,*,,9085.6938,155.5599,-34005#,267#,26,0.896551724,1,-2,2,,18467#,-3
,55,Zn,30,*,,-783#,400#,-5044#,640#,*,,17720#,400#,*,,25,0.833333333,2,-3,6,,16639#,-5
0,56,K,19,3012#,721#,*,,-16804#,922#,33496#,654#,*,,18559#,621#,37,1.947368421,-1,9,-1.125,,562#,18
,56,Ca,20,4492.4394,254.2962,40649#,838#,-14556#,650#,25912.6049,268.999,*,,9260.3993,257.3236,36,1.8,0,8,0,+,2931.3336,16
,56,Sc,21,7220.551,260.0405,34944#,477#,-10803.1358,261.8212,20667.5521,313.6258,-33275#,564#,8245.3022,261.2655,35,1.666666667,1,7,0.875,,2745.0587,14
,56,Ti,22,9821.8191,101.4441,28840.3503,111.294,-7581.6397,100.2028,15862.1321,100.2022,-28061.5915,188.9699,1630.8225,103.778,34,1.545454545,2,6,1.5,+,5661.8448,12
,56,V,23,12427.7694,176.2393,26323.4091,176.4386,-8084.756,175.9113,10728.2654,175.8847,-22630.2638,186.629,855.6051,175.8846,33,1.434782609,3,5,1.875,,5129.5826,10
,56,Cr,24,14492.3846,0.5809,24119.2573,15.8459,-8232.3457,2.8067,5322.0357,0.5123,-20741.6299,28.8821,-5643.9036,0.5358,32,1.333333333,4,4,2,+,8246.1219,8
,56,Mn,25,17496.0555,1.0434,21591.3408,11.1829,-7893.5501,0.3226,-871.1482,0.4489,-15075.501,27.0149,-7501.5624,0.2234,31,1.24,-3,3,,,7270.442,6
,56,Fe,26,20495.184,0.2766,18249.7262,0.2737,-7612.5711,0.2754,-6699.5143,0.3154,-12785.8106,0.3309,-14648.485,0.3395,30,1.153846154,-2,2,,+,11197.0596,4
,56,Co,27,24173.0863,0.4702,15060.2133,1.1091,-7754.0471,0.4841,-17410.7851,6.4123,-5616.9468,0.4283,-18775.8746,0.7405,29,1.074074074,-1,1,,,10081.8396,2
,56,Ni,28,30771.9731,4.6745,12230.9756,0.3639,-8000.4694,0.4276,-28518#,400#,-3715.1983,0.3539,-30343.5642,155.56,28,1,0,0,,+,16643.0057,0
,56,Cu,29,33532#,400#,5197.6071,6.4045,-6710.6698,8.2937,-34790#,500#,8111.2926,6.4074,-32431#,400#,27,0.931034483,1,-1,,,15065.6479,-2
,56,Zn,30,35830#,454#,689#,400#,-5255#,408#,*,,12657#,400#,*,,26,0.866666667,2,-2,,+,19191#,-4
,56,Ga,31,*,,-2822#,640#,-4385#,781#,*,,20507#,524#,*,,25,0.806451613,3,-3,,,*,-6
0,57,K,19,2483#,781#,*,,*,,35509#,626#,*,,19569#,650#,38,2,-1,10,-1.111111111,,1922#,19
,57,Ca,20,4052#,431#,*,,-15775#,805#,27842#,450#,*,,10885#,477#,37,1.85,0,9,0,,1121#,17
,57,Sc,21,6680.1809,190.3033,36428#,532#,-11508.8464,211.6952,23055.4105,198.76,-36649#,626#,9972.0247,205.8164,36,1.714285714,1,8,0.888888889,,3935.1223,15
,57,Ti,22,8712.0158,207.8944,30329.4155,260.8749,-7439.0568,210.4826,18123.1363,205.8876,-28180.4289,323.584,3710.2341,270.7795,35,1.590909091,2,7,1.555555556,,3050.171,13
,57,V,23,11452.5633,88.9662,28170.8975,105.2632,-8090.4245,86.5939,13051.216,84.7793,-26208.1858,273.1503,2778.7463,84.7679,34,1.47826087,3,6,2,,6322.9807,11
,57,Cr,24,13557.2971,1.8769,25270.4581,28.9364,-8068.4674,3.4365,7657.0321,1.8822,-20390.9603,100.2179,-3684.6368,1.8859,33,1.375,4,5,2.222222222,,5311.1752,9
,57,Mn,25,15916.3733,1.5194,22939.0854,27.0552,-8059.5201,3.4481,1859.3786,1.5846,-18591.8497,175.8908,-4950.4341,1.5218,32,1.28,-3,4,-12,,8645.9314,7
,57,Fe,26,18843.2312,0.2297,19649.6351,0.3312,-7319.315,0.2752,-4098.0559,0.51,-12185.8602,0.5126,-12212.817,0.4106,31,1.192307692,-2,3,-6,,7646.1716,5
,57,Co,27,21458.2977,0.543,16211.0579,0.4719,-7080.224,0.5966,-12036.6437,0.5978,-9722.963,0.4906,-13509.3271,0.5241,30,1.111111111,-1,2,-2,,11376.4582,3
,57,Ni,28,26890.6357,0.8106,13180.4813,0.5455,-7561.3934,1.7267,-23534#,200#,-2765.7687,0.51,-25525.5463,6.4197,29,1.035714286,0,1,0,,10247.63,1
,57,Cu,29,31816.2476,155.5603,7856.9601,0.4905,-7074.5541,1.761,-31899#,400#,1442.5325,0.5167,-29991#,400#,28,0.965517241,1,0,0,,16750.5997,-1
,57,Zn,30,34423#,447#,1792#,200#,-5344#,202#,*,,14069#,200#,-36782#,539#,27,0.9,2,-1,-2,,15232#,-3
,57,Ga,31,*,,-1648#,429#,-4695#,640#,*,,15931#,400#,*,,26,0.838709677,3,-2,-6,,19641#,-5
0,58,K,19,2193#,922#,*,,*,,37410#,725#,*,,20418#,806#,39,2.052631579,-1,11,-1.1,,271#,20
,58,Ca,20,4163#,559#,*,,-16516#,944#,29387#,533#,*,,11778#,532#,38,1.9,0,10,0,+,3042#,18
,58,Sc,21,6106.3567,321.7689,38038#,629#,-12754#,442#,24951.0146,212.8148,-36898#,629#,10850.9613,280.1708,37,1.761904762,1,9,0.9,,2171.2344,16
,58,Ti,22,7637.3092,208.9344,31985.2201,309.7318,-8181.9971,189.6303,21074.1391,183.3639,-31647#,440#,5446.0767,201.9869,36,1.636363636,2,8,1.6,+,4587.1382,14
,58,V,23,10389.8192,200.2899,29492.6773,276.7788,-8417.566,96.8296,15396.9847,95.8542,-26339.902,203.7179,4023.083,95.8342,35,1.52173913,3,7,2.1,,4066.8385,12
,58,Cr,24,12849.3162,3.0363,27146.7543,100.2449,-8672.9111,16.1135,10163.4634,2.9975,-24878.9303,205.9008,-2576.8464,3.3391,34,1.416666667,4,6,2.4,+,7538.141,10
,58,Mn,25,15058.5385,2.7172,24222.1099,175.9052,-8354.2169,11.5012,4019.7241,2.9371,-18681.4762,84.809,-3716.8696,2.7146,33,1.32,-3,5,-7.5,,6412.6071,8
,58,Fe,26,17690.7439,0.1815,21448.0855,0.5435,-7644.8077,0.3219,-1926.3997,0.3046,-16919.2574,1.8896,-10880.9312,0.5035,32,1.230769231,-2,4,-4,+,10044.5723,6
,58,Co,27,19949.4108,1.1716,17513.5686,1.1431,-6713.9617,1.5276,-8179.4415,1.1923,-9649.9842,1.8907,-11834.6497,1.2101,31,1.148148148,-1,3,-1.5,,8572.9526,4
,58,Ni,28,22463.8585,0.3492,14199.6502,0.2511,-6399.1718,0.3508,-17930,50,-7335.8256,0.2512,-20991.1751,0.4492,30,1.071428571,0,2,0,+,12216.2285,2
,58,Cu,29,29180.7544,6.4194,10205.2753,0.5921,-6082.6991,0.5716,-28128#,300#,388.8359,0.6149,-27189#,200#,29,1,1,1,0.5,,12430.1547,0
,58,Zn,30,33052#,403#,2969.1645,50.0012,-5445.4753,50.2177,-34719#,503#,6496.1185,50.0025,-34960#,403#,28,0.933333333,2,0,0,+,17820#,-2
,58,Ga,31,35843#,583#,-512#,300#,-4725#,500#,*,,16480#,300#,*,,27,0.870967742,3,-1,-1.5,,16201#,-4
,58,Ge,32,*,,-3232#,640#,-4303#,545#,*,,17682#,539#,*,,26,0.8125,4,-2,-4,+,*,-6
0,59,K,19,1523#,1000#,*,,*,,39579#,838#,*,,22209#,944#,40,2.105263158,-1,-10,-0.909090909,,1252#,21
,59,Ca,20,3773#,721#,*,,*,,31689#,671#,*,,13218#,629#,39,1.95,0,11,0,,731#,19
,59,Sc,21,5592.5339,307.6371,39537#,650#,-13725#,559#,26781.0666,284.9548,-40049#,743#,12016.7999,309.7318,38,1.80952381,1,10,0.909090909,,3421.2995,17
,59,Ti,22,7620#,364#,33898#,500#,-9654#,340#,22236#,300#,-31638#,583#,6480#,315#,37,1.681818182,2,9,1.636363636,,3033#,15
,59,V,23,9318.19,161.444,30808.9065,226.2723,-9193.4251,150.9105,17914.7114,137.4202,-29420.0191,234.4959,6309.8725,137.4328,36,1.565217391,3,8,2.181818182,,5251.3515,13
,59,Cr,24,11733.5823,1.98,28292.0246,205.8803,-8708.378,28.8841,12549.0267,0.7476,-24487.2334,183.3409,-359.6806,2.7834,35,1.458333333,4,7,2.545454545,,4195.4413,11
,59,Mn,25,14181.6854,2.7726,25668.2074,84.7979,-8825.1083,27.1135,6704.5095,2.3624,-22383.7159,95.8444,-1441.3756,2.3501,34,1.36,-3,6,-6,,7769.0782,9
,59,Fe,26,16625.5769,0.2083,22717.915,1.892,-7979.5497,0.3841,491.8754,0.324,-15962.121,2.999,-8888.9832,1.1435,33,1.269230769,-2,5,-3.333333333,,6581.0046,7
,59,Co,27,19026.8162,0.4399,19321.5008,1.5503,-6942.2118,0.3435,-5871.3836,0.4422,-13691.2407,2.7304,-10072.2847,0.2004,32,1.185185185,-1,4,-1.333333333,,10453.8636,5
,59,Ni,28,21215.5083,0.4987,15552.7584,0.2544,-6100.3272,0.3262,-13941.1546,0.6743,-6290.5331,0.3072,-17560.3001,0.4453,31,1.107142857,0,3,0,,8999.2797,3
,59,Cu,29,25192.0762,0.598,11590.7386,0.5813,-4753.374,0.548,-22598#,170#,-3800.133,1.1752,-22130.9011,50.0016,30,1.034482759,1,2,0.666666667,,12761.9215,1
,59,Zn,30,30808#,200#,5709.6597,0.8361,-4304.633,0.9649,-30846#,400#,5724.2218,0.6725,-31747#,300#,29,0.966666667,2,1,0.666666667,,12988.1251,-1
,59,Ga,31,34493#,434#,1029#,170#,-4550#,231#,*,,10619#,170#,-34252#,528#,28,0.903225806,3,0,0,,18292#,-3
,59,Ge,32,*,,-1602#,447#,-4525#,565#,*,,18640#,403#,*,,27,0.84375,4,-1,-1.333333333,,16862#,-5
0,60,Ca,20,3612#,860#,*,,*,,33100#,740#,*,,13758#,743#,40,2,0,-10,0,+,2881#,20
,60,Sc,21,5213#,535#,41058#,860#,-14955#,781#,28537#,532#,-40589#,944#,13258#,583#,39,1.857142857,1,11,0.916666667,,1792#,18
,60,Ti,22,7324.6653,302.2743,35147#,555#,-11014.223,346.5208,24808.8026,240.3281,-35198#,646#,7439.6014,276.8307,38,1.727272727,2,10,1.666666667,+,4291#,16
,60,V,23,8799.4541,205.6335,32185.7747,263.0852,-9996.469,317.065,19880.5443,181.961,-29546.8222,308.9089,6957.2111,181.9474,37,1.608695652,3,9,2.25,,3548.1026,14
,60,Cr,24,11059.3288,3.1835,30568.7739,183.3431,-9910.4207,100.2068,14504.6739,3.5848,-28318#,300#,545.5102,2.5831,36,1.5,4,8,2.666666667,+,6863.8875,12
,60,Mn,25,13283.0137,3.5665,27115.3044,95.8444,-9209.4612,175.8998,8682.4916,2.3634,-22646.2999,137.4202,-374.3064,2.352,35,1.4,-3,7,-5.25,,5513.9355,10
,60,Fe,26,15400.5394,3.3914,23999.3087,4.5262,-8552.9625,3.4347,3060.0691,3.4056,-20586.2145,3.4715,-7254.6543,3.4099,34,1.307692308,-2,6,-3,+,8819.5347,8
,60,Co,27,17945.7812,1.1043,20400.8113,2.7313,-7163.6874,0.3755,-3305.1753,1.5877,-13414.0801,2.3634,-8564.9226,0.2068,33,1.222222222,-1,5,-1.25,,7491.9176,6
